Notes,County,County Code,Year,Year Code,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error,% of Total Deaths,ID
,"Jefferson County, AL",1073.0,2019.0,2019.0,63.0,658573.0,9.5661,7.3509,12.2392,1.2052,0.0449%,methane
,"Jefferson County, AL",1073.0,2020.0,2020.0,92.0,655342.0,14.0385,11.317,17.2169,1.4636,0.0656%,methane
,"Jefferson County, AL",1073.0,2021.0,2021.0,134.0,667820.0,20.0653,16.6679,23.4627,1.7334,0.0956%,methane
,"Lauderdale County, AL",1077.0,2018.0,2018.0,11.0,92387.0,Unreliable,5.9437,21.3039,3.5899,0.0078%,methane
,"Lauderdale County, AL",1077.0,2021.0,2021.0,10.0,94043.0,Unreliable,5.0992,19.5553,3.3626,0.0071%,methane
,"Madison County, AL",1089.0,2018.0,2018.0,32.0,366519.0,8.7308,5.9719,12.3253,1.5434,0.0228%,methane
,"Madison County, AL",1089.0,2019.0,2019.0,46.0,372909.0,12.3354,9.0312,16.4538,1.8188,0.0328%,methane
,"Madison County, AL",1089.0,2020.0,2020.0,41.0,379453.0,10.8050,7.7539,14.6582,1.6875,0.0293%,methane
,"Madison County, AL",1089.0,2021.0,2021.0,47.0,395211.0,11.8924,8.738,15.8144,1.7347,0.0335%,methane
,"Marshall County, AL",1095.0,2018.0,2018.0,14.0,96109.0,Unreliable,7.9638,24.4406,3.8931,0.0100%,methane
,"Marshall County, AL",1095.0,2019.0,2019.0,12.0,96774.0,Unreliable,6.4072,21.6604,3.5796,0.0086%,methane
,"Marshall County, AL",1095.0,2020.0,2020.0,11.0,96990.0,Unreliable,5.6616,20.2929,3.4196,0.0078%,methane
,"Marshall County, AL",1095.0,2021.0,2021.0,19.0,98228.0,Unreliable,11.6457,30.206,4.4375,0.0136%,methane
,"Mobile County, AL",1097.0,2018.0,2018.0,28.0,413757.0,6.7673,4.4968,9.7806,1.2789,0.0200%,methane
,"Mobile County, AL",1097.0,2019.0,2019.0,25.0,413210.0,6.0502,3.9154,8.9313,1.21,0.0178%,methane
,"Mobile County, AL",1097.0,2020.0,2020.0,31.0,412716.0,7.5112,5.1035,10.6616,1.3491,0.0221%,methane
,"Mobile County, AL",1097.0,2021.0,2021.0,53.0,413073.0,12.8307,9.6111,16.7828,1.7624,0.0378%,methane
,"Montgomery County, AL",1101.0,2018.0,2018.0,12.0,225763.0,Unreliable,2.7465,9.2848,1.5344,0.0086%,methane
,"Montgomery County, AL",1101.0,2020.0,2020.0,12.0,224639.0,Unreliable,2.7602,9.3312,1.5421,0.0086%,methane
,"Montgomery County, AL",1101.0,2021.0,2021.0,23.0,227434.0,10.1128,6.4106,15.1742,2.1087,0.0164%,methane
,"Morgan County, AL",1103.0,2018.0,2018.0,10.0,119089.0,Unreliable,4.0267,15.4426,2.6554,0.0071%,methane
,"Morgan County, AL",1103.0,2020.0,2020.0,14.0,119883.0,Unreliable,6.3845,19.5938,3.1211,0.0100%,methane
,"Morgan County, AL",1103.0,2021.0,2021.0,18.0,123668.0,Unreliable,8.6262,23.0033,3.4307,0.0128%,methane
,"Russell County, AL",1113.0,2019.0,2019.0,11.0,57961.0,Unreliable,9.474,33.9575,5.7222,0.0078%,methane
,"Russell County, AL",1113.0,2021.0,2021.0,11.0,58722.0,Unreliable,9.3512,33.5174,5.648,0.0078%,methane
,"St. Clair County, AL",1115.0,2018.0,2018.0,12.0,88690.0,Unreliable,6.9912,23.6347,3.9059,0.0086%,methane
,"St. Clair County, AL",1115.0,2020.0,2020.0,12.0,90739.0,Unreliable,6.8334,23.101,3.8177,0.0086%,methane
,"St. Clair County, AL",1115.0,2021.0,2021.0,22.0,92748.0,23.7202,14.8652,35.9126,5.0572,0.0157%,methane
,"Shelby County, AL",1117.0,2018.0,2018.0,17.0,215707.0,Unreliable,4.591,12.6184,1.9114,0.0121%,methane
,"Shelby County, AL",1117.0,2019.0,2019.0,12.0,217702.0,Unreliable,2.8482,9.6286,1.5912,0.0086%,methane
,"Shelby County, AL",1117.0,2020.0,2020.0,10.0,221428.0,Unreliable,2.1657,8.3054,1.4281,0.0071%,methane
,"Shelby County, AL",1117.0,2021.0,2021.0,22.0,226902.0,9.6958,6.0763,14.6796,2.0672,0.0157%,methane
,"Tuscaloosa County, AL",1125.0,2019.0,2019.0,14.0,209355.0,Unreliable,3.656,11.22,1.7872,0.0100%,methane
,"Tuscaloosa County, AL",1125.0,2020.0,2020.0,22.0,210758.0,10.4385,6.5417,15.804,2.2255,0.0157%,methane
,"Tuscaloosa County, AL",1125.0,2021.0,2021.0,28.0,227007.0,12.3344,8.1961,17.8267,2.331,0.0200%,methane
,"Walker County, AL",1127.0,2019.0,2019.0,11.0,63521.0,Unreliable,8.6447,30.9852,5.2213,0.0078%,methane
,"Walker County, AL",1127.0,2020.0,2020.0,23.0,63143.0,36.4253,23.0903,54.6557,7.5952,0.0164%,methane
,"Walker County, AL",1127.0,2021.0,2021.0,20.0,64818.0,30.8556,18.8475,47.654,6.8995,0.0143%,methane
,"Anchorage Borough, AK",2020.0,2018.0,2018.0,29.0,291538.0,9.9472,6.6619,14.2859,1.8472,0.0207%,methane
,"Anchorage Borough, AK",2020.0,2019.0,2019.0,31.0,288000.0,10.7639,7.3135,15.2785,1.9333,0.0221%,methane
,"Anchorage Borough, AK",2020.0,2020.0,2020.0,38.0,287095.0,13.2360,9.3666,18.1675,2.1472,0.0271%,methane
,"Anchorage Borough, AK",2020.0,2021.0,2021.0,80.0,288121.0,27.7661,22.0169,34.5574,3.1043,0.0571%,methane
,"Fairbanks North Star Borough, AK",2090.0,2021.0,2021.0,15.0,95593.0,Unreliable,8.7824,25.8808,4.0515,0.0107%,methane
,"Kenai Peninsula Borough, AK",2122.0,2021.0,2021.0,11.0,59767.0,Unreliable,9.1877,32.9314,5.5493,0.0078%,methane
,"Matanuska-Susitna Borough, AK",2170.0,2019.0,2019.0,15.0,108317.0,Unreliable,7.7507,22.8406,3.5756,0.0107%,methane
,"Matanuska-Susitna Borough, AK",2170.0,2020.0,2020.0,14.0,110213.0,Unreliable,6.9447,21.3129,3.3949,0.0100%,methane
,"Matanuska-Susitna Borough, AK",2170.0,2021.0,2021.0,20.0,110686.0,18.0691,11.0372,27.9063,4.0404,0.0143%,methane
,"Apache County, AZ",4001.0,2021.0,2021.0,11.0,65623.0,Unreliable,8.3678,29.9927,5.0541,0.0078%,methane
,"Cochise County, AZ",4003.0,2020.0,2020.0,12.0,127450.0,Unreliable,4.8651,16.4469,2.718,0.0086%,methane
,"Cochise County, AZ",4003.0,2021.0,2021.0,10.0,126050.0,Unreliable,3.8044,14.5898,2.5087,0.0071%,methane
,"Coconino County, AZ",4005.0,2018.0,2018.0,12.0,142854.0,Unreliable,4.3405,14.6734,2.4249,0.0086%,methane
,"Coconino County, AZ",4005.0,2020.0,2020.0,15.0,142481.0,Unreliable,5.8923,17.3639,2.7182,0.0107%,methane
,"Coconino County, AZ",4005.0,2021.0,2021.0,12.0,145052.0,Unreliable,4.2747,14.4511,2.3882,0.0086%,methane
,"Gila County, AZ",4007.0,2021.0,2021.0,13.0,53589.0,Unreliable,12.9168,41.4831,6.7282,0.0093%,methane
,"Maricopa County, AZ",4013.0,2018.0,2018.0,457.0,4410824.0,10.3609,9.4109,11.3108,0.4847,0.3261%,methane
,"Maricopa County, AZ",4013.0,2019.0,2019.0,539.0,4485414.0,12.0167,11.0022,13.0312,0.5176,0.3846%,methane
,"Maricopa County, AZ",4013.0,2020.0,2020.0,659.0,4579081.0,14.3915,13.2927,15.4903,0.5606,0.4702%,methane
,"Maricopa County, AZ",4013.0,2021.0,2021.0,766.0,4496588.0,17.0351,15.8287,18.2415,0.6155,0.5465%,methane
,"Mohave County, AZ",4015.0,2018.0,2018.0,13.0,209550.0,Unreliable,3.3033,10.6086,1.7206,0.0093%,methane
,"Mohave County, AZ",4015.0,2019.0,2019.0,12.0,212181.0,Unreliable,2.9223,9.8791,1.6326,0.0086%,methane
,"Mohave County, AZ",4015.0,2020.0,2020.0,29.0,217206.0,13.3514,8.9417,19.1749,2.4793,0.0207%,methane
,"Mohave County, AZ",4015.0,2021.0,2021.0,26.0,217692.0,11.9435,7.8018,17.4999,2.3423,0.0185%,methane
,"Navajo County, AZ",4017.0,2019.0,2019.0,12.0,110924.0,Unreliable,5.5899,18.8973,3.123,0.0086%,methane
,"Navajo County, AZ",4017.0,2020.0,2020.0,13.0,112112.0,Unreliable,6.1742,19.8287,3.216,0.0093%,methane
,"Navajo County, AZ",4017.0,2021.0,2021.0,25.0,108147.0,23.1167,14.96,34.1248,4.6233,0.0178%,methane
,"Pima County, AZ",4019.0,2018.0,2018.0,81.0,1039073.0,7.7954,6.1906,9.689,0.8662,0.0578%,methane
,"Pima County, AZ",4019.0,2019.0,2019.0,99.0,1047279.0,9.4531,7.683,11.5087,0.9501,0.0706%,methane
,"Pima County, AZ",4019.0,2020.0,2020.0,133.0,1061175.0,12.5333,10.4032,14.6634,1.0868,0.0949%,methane
,"Pima County, AZ",4019.0,2021.0,2021.0,155.0,1052030.0,14.7334,12.4139,17.0529,1.1834,0.1106%,methane
,"Pinal County, AZ",4021.0,2018.0,2018.0,25.0,447138.0,5.5911,3.6183,8.2536,1.1182,0.0178%,methane
,"Pinal County, AZ",4021.0,2019.0,2019.0,29.0,462789.0,6.2664,4.1967,8.9996,1.1636,0.0207%,methane
,"Pinal County, AZ",4021.0,2020.0,2020.0,27.0,480828.0,5.6153,3.7005,8.17,1.0807,0.0193%,methane
,"Pinal County, AZ",4021.0,2021.0,2021.0,54.0,449557.0,12.0118,9.0236,15.6728,1.6346,0.0385%,methane
,"Yavapai County, AZ",4025.0,2018.0,2018.0,27.0,231993.0,11.6383,7.6697,16.9331,2.2398,0.0193%,methane
,"Yavapai County, AZ",4025.0,2019.0,2019.0,27.0,235099.0,11.4845,7.5684,16.7094,2.2102,0.0193%,methane
,"Yavapai County, AZ",4025.0,2020.0,2020.0,35.0,240226.0,14.5696,10.1483,20.2628,2.4627,0.0250%,methane
,"Yavapai County, AZ",4025.0,2021.0,2021.0,26.0,242253.0,10.7326,7.0108,15.7257,2.1048,0.0185%,methane
,"Yuma County, AZ",4027.0,2018.0,2018.0,26.0,212128.0,12.2568,8.0065,17.959,2.4037,0.0185%,methane
,"Yuma County, AZ",4027.0,2019.0,2019.0,35.0,213787.0,16.3714,11.4034,22.7687,2.7673,0.0250%,methane
,"Yuma County, AZ",4027.0,2020.0,2020.0,42.0,217824.0,19.2816,13.8965,26.0632,2.9752,0.0300%,methane
,"Yuma County, AZ",4027.0,2021.0,2021.0,50.0,206990.0,24.1558,17.9289,31.8465,3.4161,0.0357%,methane
,"Benton County, AR",5007.0,2018.0,2018.0,25.0,272608.0,9.1707,5.9348,13.5378,1.8341,0.0178%,methane
,"Benton County, AR",5007.0,2019.0,2019.0,15.0,279141.0,Unreliable,3.0076,8.863,1.3875,0.0107%,methane
,"Benton County, AR",5007.0,2020.0,2020.0,35.0,288774.0,12.1202,8.4422,16.8563,2.0487,0.0250%,methane
,"Benton County, AR",5007.0,2021.0,2021.0,25.0,293692.0,8.5123,5.5087,12.5659,1.7025,0.0178%,methane
,"Craighead County, AR",5031.0,2021.0,2021.0,12.0,112218.0,Unreliable,5.5254,18.6794,3.0869,0.0086%,methane
,"Crawford County, AR",5033.0,2021.0,2021.0,10.0,60378.0,Unreliable,7.9423,30.4588,5.2375,0.0071%,methane
,"Faulkner County, AR",5045.0,2019.0,2019.0,11.0,126007.0,Unreliable,4.3579,15.6198,2.6321,0.0078%,methane
,"Faulkner County, AR",5045.0,2020.0,2020.0,14.0,126919.0,Unreliable,6.0306,18.5076,2.9481,0.0100%,methane
,"Faulkner County, AR",5045.0,2021.0,2021.0,12.0,125106.0,Unreliable,4.9562,16.7551,2.7689,0.0086%,methane
,"Garland County, AR",5051.0,2018.0,2018.0,12.0,99154.0,Unreliable,6.2534,21.1404,3.4937,0.0086%,methane
,"Garland County, AR",5051.0,2020.0,2020.0,16.0,99789.0,Unreliable,9.1648,26.038,4.0085,0.0114%,methane
,"Garland County, AR",5051.0,2021.0,2021.0,12.0,100330.0,Unreliable,6.1801,20.8927,3.4527,0.0086%,methane
,"Lonoke County, AR",5085.0,2021.0,2021.0,11.0,74722.0,Unreliable,7.3488,26.3404,4.4386,0.0078%,methane
,"Mississippi County, AR",5093.0,2021.0,2021.0,11.0,39661.0,Unreliable,13.8453,49.6258,8.3624,0.0078%,methane
,"Pulaski County, AR",5119.0,2018.0,2018.0,27.0,392680.0,6.8758,4.5312,10.004,1.3233,0.0193%,methane
,"Pulaski County, AR",5119.0,2019.0,2019.0,31.0,391911.0,7.9100,5.3744,11.2276,1.4207,0.0221%,methane
,"Pulaski County, AR",5119.0,2020.0,2020.0,67.0,392980.0,17.0492,13.213,21.6518,2.0829,0.0478%,methane
,"Pulaski County, AR",5119.0,2021.0,2021.0,63.0,397821.0,15.8363,12.1691,20.2614,1.9952,0.0449%,methane
,"Saline County, AR",5125.0,2018.0,2018.0,10.0,121421.0,Unreliable,3.9494,15.146,2.6044,0.0071%,methane
,"Saline County, AR",5125.0,2019.0,2019.0,12.0,122437.0,Unreliable,5.0643,17.1203,2.8293,0.0086%,methane
,"Saline County, AR",5125.0,2020.0,2020.0,11.0,123968.0,Unreliable,4.4295,15.8767,2.6754,0.0078%,methane
,"Saline County, AR",5125.0,2021.0,2021.0,23.0,125233.0,18.3658,11.6422,27.5576,3.8295,0.0164%,methane
,"Sebastian County, AR",5131.0,2018.0,2018.0,11.0,127753.0,Unreliable,4.2983,15.4064,2.5961,0.0078%,methane
,"Sebastian County, AR",5131.0,2020.0,2020.0,17.0,127590.0,Unreliable,7.7617,21.3329,3.2315,0.0121%,methane
,"Sebastian County, AR",5131.0,2021.0,2021.0,19.0,128400.0,Unreliable,8.9091,23.1081,3.3948,0.0136%,methane
,"Washington County, AR",5143.0,2021.0,2021.0,15.0,250057.0,Unreliable,3.3574,9.8938,1.5488,0.0107%,methane
,"White County, AR",5145.0,2020.0,2020.0,11.0,78729.0,Unreliable,6.9748,24.9998,4.2127,0.0078%,methane
,"Alameda County, CA",6001.0,2018.0,2018.0,77.0,1666753.0,4.6198,3.6458,5.7739,0.5265,0.0549%,methane
,"Alameda County, CA",6001.0,2019.0,2019.0,123.0,1671329.0,7.3594,6.0588,8.66,0.6636,0.0878%,methane
,"Alameda County, CA",6001.0,2020.0,2020.0,208.0,1662323.0,12.5126,10.8121,14.2131,0.8676,0.1484%,methane
,"Alameda County, CA",6001.0,2021.0,2021.0,156.0,1648556.0,9.4628,7.9779,10.9478,0.7576,0.1113%,methane
,"Butte County, CA",6007.0,2018.0,2018.0,18.0,231256.0,Unreliable,4.613,12.3014,1.8346,0.0128%,methane
,"Butte County, CA",6007.0,2019.0,2019.0,16.0,219186.0,Unreliable,4.1725,11.8543,1.8249,0.0114%,methane
,"Butte County, CA",6007.0,2020.0,2020.0,20.0,212744.0,9.4010,5.7424,14.519,2.1021,0.0143%,methane
,"Butte County, CA",6007.0,2021.0,2021.0,41.0,208309.0,19.6823,14.1244,26.7012,3.0739,0.0293%,methane
,"Contra Costa County, CA",6013.0,2018.0,2018.0,77.0,1150215.0,6.6944,5.2831,8.3669,0.7629,0.0549%,methane
,"Contra Costa County, CA",6013.0,2019.0,2019.0,83.0,1153526.0,7.1953,5.731,8.9197,0.7898,0.0592%,methane
,"Contra Costa County, CA",6013.0,2020.0,2020.0,112.0,1152333.0,9.7194,7.9194,11.5195,0.9184,0.0799%,methane
,"Contra Costa County, CA",6013.0,2021.0,2021.0,158.0,1161413.0,13.6041,11.4828,15.7254,1.0823,0.1127%,methane
,"El Dorado County, CA",6017.0,2018.0,2018.0,24.0,190678.0,12.5867,8.0645,18.7279,2.5692,0.0171%,methane
,"El Dorado County, CA",6017.0,2019.0,2019.0,18.0,192843.0,Unreliable,5.5319,14.7518,2.2,0.0128%,methane
,"El Dorado County, CA",6017.0,2020.0,2020.0,20.0,192925.0,10.3667,6.3323,16.0106,2.3181,0.0143%,methane
,"El Dorado County, CA",6017.0,2021.0,2021.0,32.0,193221.0,16.5613,11.328,23.3797,2.9277,0.0228%,methane
,"Fresno County, CA",6019.0,2018.0,2018.0,24.0,994400.0,2.4135,1.5464,3.5911,0.4927,0.0171%,methane
,"Fresno County, CA",6019.0,2019.0,2019.0,34.0,999101.0,3.4031,2.3567,4.7554,0.5836,0.0243%,methane
,"Fresno County, CA",6019.0,2020.0,2020.0,40.0,1000918.0,3.9963,2.855,5.4419,0.6319,0.0285%,methane
,"Fresno County, CA",6019.0,2021.0,2021.0,43.0,1013581.0,4.2424,3.0702,5.7144,0.647,0.0307%,methane
,"Humboldt County, CA",6023.0,2018.0,2018.0,13.0,136373.0,Unreliable,5.0758,16.3012,2.6439,0.0093%,methane
,"Humboldt County, CA",6023.0,2019.0,2019.0,11.0,135558.0,Unreliable,4.0508,14.5193,2.4466,0.0078%,methane
,"Humboldt County, CA",6023.0,2020.0,2020.0,20.0,134977.0,14.8173,9.0509,22.8842,3.3133,0.0143%,methane
,"Humboldt County, CA",6023.0,2021.0,2021.0,20.0,136310.0,14.6724,8.9624,22.6604,3.2809,0.0143%,methane
,"Imperial County, CA",6025.0,2018.0,2018.0,19.0,181827.0,Unreliable,6.2913,16.3181,2.3973,0.0136%,methane
,"Imperial County, CA",6025.0,2019.0,2019.0,16.0,181215.0,Unreliable,5.0467,14.3382,2.2073,0.0114%,methane
,"Imperial County, CA",6025.0,2020.0,2020.0,25.0,180267.0,13.8683,8.9749,20.4724,2.7737,0.0178%,methane
,"Imperial County, CA",6025.0,2021.0,2021.0,15.0,179851.0,Unreliable,4.6679,13.756,2.1534,0.0107%,methane
,"Kern County, CA",6029.0,2018.0,2018.0,74.0,896764.0,8.2519,6.4796,10.3595,0.9593,0.0528%,methane
,"Kern County, CA",6029.0,2019.0,2019.0,85.0,900202.0,9.4423,7.5422,11.6756,1.0242,0.0606%,methane
,"Kern County, CA",6029.0,2020.0,2020.0,144.0,901362.0,15.9758,13.3664,18.5852,1.3313,0.1027%,methane
,"Kern County, CA",6029.0,2021.0,2021.0,206.0,917673.0,22.4481,19.3826,25.5136,1.564,0.1470%,methane
,"Kings County, CA",6031.0,2018.0,2018.0,11.0,151366.0,Unreliable,3.6278,13.003,2.1911,0.0078%,methane
,"Kings County, CA",6031.0,2019.0,2019.0,10.0,152940.0,Unreliable,3.1355,12.0246,2.0677,0.0071%,methane
,"Lake County, CA",6033.0,2018.0,2018.0,19.0,64382.0,Unreliable,17.7679,46.0855,6.7704,0.0136%,methane
,"Lake County, CA",6033.0,2019.0,2019.0,22.0,64386.0,34.1689,21.4133,51.7321,7.2848,0.0157%,methane
,"Lake County, CA",6033.0,2020.0,2020.0,20.0,64479.0,31.0179,18.9466,47.9046,6.9358,0.0143%,methane
,"Lake County, CA",6033.0,2021.0,2021.0,31.0,68766.0,45.0804,30.6299,63.988,8.0967,0.0221%,methane
,"Los Angeles County, CA",6037.0,2018.0,2018.0,330.0,10105518.0,3.2655,2.9132,3.6179,0.1798,0.2354%,methane
,"Los Angeles County, CA",6037.0,2019.0,2019.0,430.0,10039107.0,4.2832,3.8784,4.6881,0.2066,0.3068%,methane
,"Los Angeles County, CA",6037.0,2020.0,2020.0,836.0,9943046.0,8.4079,7.8379,8.9778,0.2908,0.5965%,methane
,"Los Angeles County, CA",6037.0,2021.0,2021.0,1078.0,9829544.0,10.9669,10.3123,11.6216,0.334,0.7691%,methane
,"Madera County, CA",6039.0,2021.0,2021.0,15.0,159410.0,Unreliable,5.2665,15.5199,2.4296,0.0107%,methane
,"Marin County, CA",6041.0,2018.0,2018.0,11.0,259666.0,Unreliable,2.1147,7.5798,1.2773,0.0078%,methane
,"Marin County, CA",6041.0,2019.0,2019.0,13.0,258826.0,Unreliable,2.6744,8.5889,1.393,0.0093%,methane
,"Marin County, CA",6041.0,2020.0,2020.0,25.0,257332.0,9.7151,6.2871,14.3414,1.943,0.0178%,methane
,"Marin County, CA",6041.0,2021.0,2021.0,35.0,260206.0,13.4509,9.3691,18.7069,2.2736,0.0250%,methane
,"Mendocino County, CA",6045.0,2019.0,2019.0,18.0,86749.0,Unreliable,12.2974,32.7932,4.8907,0.0128%,methane
,"Mendocino County, CA",6045.0,2020.0,2020.0,25.0,86061.0,29.0492,18.7992,42.8824,5.8098,0.0178%,methane
,"Mendocino County, CA",6045.0,2021.0,2021.0,43.0,91305.0,47.0949,34.0826,63.4364,7.1819,0.0307%,methane
,"Merced County, CA",6047.0,2018.0,2018.0,14.0,274765.0,Unreliable,2.7856,8.549,1.3618,0.0100%,methane
,"Merced County, CA",6047.0,2019.0,2019.0,19.0,277680.0,Unreliable,4.1196,10.6852,1.5698,0.0136%,methane
,"Merced County, CA",6047.0,2020.0,2020.0,21.0,279252.0,7.5201,4.6551,11.4953,1.641,0.0150%,methane
,"Merced County, CA",6047.0,2021.0,2021.0,24.0,286461.0,8.3781,5.368,12.4659,1.7102,0.0171%,methane
,"Monterey County, CA",6053.0,2018.0,2018.0,34.0,435594.0,7.8054,5.4055,10.9073,1.3386,0.0243%,methane
,"Monterey County, CA",6053.0,2019.0,2019.0,38.0,434061.0,8.7545,6.1952,12.0163,1.4202,0.0271%,methane
,"Monterey County, CA",6053.0,2020.0,2020.0,51.0,430906.0,11.8355,8.8124,15.5616,1.6573,0.0364%,methane
,"Monterey County, CA",6053.0,2021.0,2021.0,55.0,437325.0,12.5765,9.4743,16.37,1.6958,0.0392%,methane
,"Napa County, CA",6055.0,2021.0,2021.0,13.0,136207.0,Unreliable,5.082,16.321,2.6471,0.0093%,methane
,"Nevada County, CA",6057.0,2020.0,2020.0,14.0,99606.0,Unreliable,7.6842,23.5825,3.7565,0.0100%,methane
,"Nevada County, CA",6057.0,2021.0,2021.0,13.0,103487.0,Unreliable,6.6887,21.4813,3.4841,0.0093%,methane
,"Orange County, CA",6059.0,2018.0,2018.0,219.0,3185968.0,6.8739,5.9635,7.7843,0.4645,0.1562%,methane
,"Orange County, CA",6059.0,2019.0,2019.0,201.0,3175692.0,6.3293,5.4543,7.2043,0.4464,0.1434%,methane
,"Orange County, CA",6059.0,2020.0,2020.0,392.0,3166857.0,12.3782,11.1528,13.6036,0.6252,0.2797%,methane
,"Orange County, CA",6059.0,2021.0,2021.0,541.0,3167809.0,17.0780,15.6389,18.5172,0.7342,0.3860%,methane
,"Placer County, CA",6061.0,2018.0,2018.0,16.0,393149.0,Unreliable,2.3262,6.609,1.0174,0.0114%,methane
,"Placer County, CA",6061.0,2019.0,2019.0,21.0,398329.0,5.2720,3.2635,8.0589,1.1504,0.0150%,methane
,"Placer County, CA",6061.0,2020.0,2020.0,26.0,402950.0,6.4524,4.2149,9.4543,1.2654,0.0185%,methane
,"Placer County, CA",6061.0,2021.0,2021.0,36.0,412300.0,8.7315,6.1155,12.0881,1.4553,0.0257%,methane
,"Riverside County, CA",6065.0,2018.0,2018.0,136.0,2450758.0,5.5493,4.6166,6.482,0.4758,0.0970%,methane
,"Riverside County, CA",6065.0,2019.0,2019.0,158.0,2470546.0,6.3953,5.3981,7.3926,0.5088,0.1127%,methane
,"Riverside County, CA",6065.0,2020.0,2020.0,246.0,2489188.0,9.8827,8.6477,11.1177,0.6301,0.1755%,methane
,"Riverside County, CA",6065.0,2021.0,2021.0,309.0,2458395.0,12.5692,11.1677,13.9706,0.715,0.2205%,methane
,"Sacramento County, CA",6067.0,2018.0,2018.0,70.0,1540975.0,4.5426,3.5412,5.7393,0.5429,0.0499%,methane
,"Sacramento County, CA",6067.0,2019.0,2019.0,108.0,1552058.0,6.9585,5.6461,8.2709,0.6696,0.0771%,methane
,"Sacramento County, CA",6067.0,2020.0,2020.0,87.0,1559146.0,5.5800,4.4693,6.8829,0.5982,0.0621%,methane
,"Sacramento County, CA",6067.0,2021.0,2021.0,231.0,1588921.0,14.5382,12.6633,16.413,0.9565,0.1648%,methane
,"San Bernardino County, CA",6071.0,2018.0,2018.0,96.0,2171603.0,4.4207,3.5808,5.3984,0.4512,0.0685%,methane
,"San Bernardino County, CA",6071.0,2019.0,2019.0,75.0,2180085.0,3.4402,2.7059,4.3124,0.3972,0.0535%,methane
,"San Bernardino County, CA",6071.0,2020.0,2020.0,165.0,2189183.0,7.5371,6.387,8.6871,0.5868,0.1177%,methane
,"San Bernardino County, CA",6071.0,2021.0,2021.0,217.0,2194710.0,9.8874,8.5719,11.203,0.6712,0.1548%,methane
,"San Diego County, CA",6073.0,2018.0,2018.0,194.0,3343364.0,5.8025,4.986,6.6191,0.4166,0.1384%,methane
,"San Diego County, CA",6073.0,2019.0,2019.0,230.0,3338330.0,6.8897,5.9993,7.7801,0.4543,0.1641%,methane
,"San Diego County, CA",6073.0,2020.0,2020.0,331.0,3332427.0,9.9327,8.8626,11.0028,0.546,0.2362%,methane
,"San Diego County, CA",6073.0,2021.0,2021.0,494.0,3286069.0,15.0332,13.7075,16.3589,0.6764,0.3524%,methane
,"San Francisco County, CA",6075.0,2018.0,2018.0,101.0,883305.0,11.4343,9.2043,13.6643,1.1378,0.0721%,methane
,"San Francisco County, CA",6075.0,2019.0,2019.0,199.0,881549.0,22.5739,19.4375,25.7103,1.6002,0.1420%,methane
,"San Francisco County, CA",6075.0,2020.0,2020.0,315.0,866606.0,36.3487,32.3346,40.3628,2.048,0.2247%,methane
,"San Francisco County, CA",6075.0,2021.0,2021.0,277.0,815201.0,33.9793,29.9778,37.9809,2.0416,0.1976%,methane
