"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error	% of Total Deaths
	"Butler County, AL"	"01013"	"2020"	"2020"	12	19504	Unreliable	31.7910	107.4733	17.7610	0.0016%
	"Butler County, AL"	"01013"	"2021 "	"2021"	13	18884	Unreliable	36.6553	117.7208	19.0932	0.0017%
	"Calhoun County, AL"	"01015"	"2018"	"2018"	63	114277	55.1292	42.3629	70.5340	6.9456	0.0085%
	"Calhoun County, AL"	"01015"	"2019"	"2019"	82	113605	72.1799	57.4069	89.5940	7.9709	0.0110%
	"Calhoun County, AL"	"01015"	"2020"	"2020"	93	113469	81.9607	66.1529	100.4076	8.4989	0.0125%
	"Calhoun County, AL"	"01015"	"2021 "	"2021"	86	115972	74.1558	59.3150	91.5817	7.9964	0.0116%
	"Chambers County, AL"	"01017"	"2018"	"2018"	17	33615	Unreliable	29.4606	80.9719	12.2657	0.0023%
	"Chambers County, AL"	"01017"	"2019"	"2019"	16	33254	Unreliable	27.5018	78.1351	12.0286	0.0022%
	"Chambers County, AL"	"01017"	"2020"	"2020"	29	32865	88.2398	59.0959	126.7273	16.3857	0.0039%
	"Chambers County, AL"	"01017"	"2021 "	"2021"	18	34541	Unreliable	30.8847	82.3593	12.2829	0.0024%
	"Cherokee County, AL"	"01019"	"2018"	"2018"	20	26032	76.8285	46.9292	118.6555	17.1794	0.0027%
	"Cherokee County, AL"	"01019"	"2019"	"2019"	23	26196	87.7997	55.6571	131.7425	18.3075	0.0031%
	"Cherokee County, AL"	"01019"	"2020"	"2020"	23	26294	87.4724	55.4496	131.2515	18.2393	0.0031%
	"Cherokee County, AL"	"01019"	"2021 "	"2021"	22	24996	88.0141	55.1575	133.2542	18.7647	0.0030%
	"Chilton County, AL"	"01021"	"2018"	"2018"	24	44153	54.3564	34.8273	80.8780	11.0955	0.0032%
	"Chilton County, AL"	"01021"	"2019"	"2019"	15	44428	Unreliable	18.8965	55.6862	8.7174	0.0020%
	"Chilton County, AL"	"01021"	"2020"	"2020"	22	44397	49.5529	31.0543	75.0236	10.5647	0.0030%
	"Chilton County, AL"	"01021"	"2021 "	"2021"	17	45274	Unreliable	21.8739	60.1199	9.1070	0.0023%
	"Clarke County, AL"	"01025"	"2019"	"2019"	21	23622	88.9002	55.0310	135.8937	19.3996	0.0028%
	"Clarke County, AL"	"01025"	"2020"	"2020"	10	23291	Unreliable	20.5891	78.9593	13.5773	0.0013%
	"Clarke County, AL"	"01025"	"2021 "	"2021"	14	22760	Unreliable	33.6289	103.2057	16.4396	0.0019%
	"Clay County, AL"	"01027"	"2018"	"2018"	15	13275	Unreliable	63.2418	186.3672	29.1750	0.0020%
	"Clay County, AL"	"01027"	"2019"	"2019"	16	13235	Unreliable	69.1004	196.3207	30.2229	0.0022%
	"Clay County, AL"	"01027"	"2020"	"2020"	17	13112	Unreliable	75.5276	207.5862	31.4453	0.0023%
	"Clay County, AL"	"01027"	"2021 "	"2021"	12	14190	Unreliable	43.6964	147.7209	24.4123	0.0016%
	"Cleburne County, AL"	"01029"	"2018"	"2018"	12	14987	Unreliable	41.3727	139.8652	23.1140	0.0016%
	"Cleburne County, AL"	"01029"	"2019"	"2019"	10	14910	Unreliable	32.1623	123.3427	21.2091	0.0013%
	"Cleburne County, AL"	"01029"	"2020"	"2020"	14	14967	Unreliable	51.1388	156.9427	24.9994	0.0019%
	"Coffee County, AL"	"01031"	"2018"	"2018"	33	51909	63.5728	43.7603	89.2797	11.0666	0.0044%
	"Coffee County, AL"	"01031"	"2019"	"2019"	18	52342	Unreliable	20.3811	54.3497	8.1056	0.0024%
	"Coffee County, AL"	"01031"	"2020"	"2020"	42	53230	78.9029	56.8661	106.6538	12.1750	0.0056%
	"Coffee County, AL"	"01031"	"2021 "	"2021"	37	54174	68.2984	48.0883	94.1405	11.2282	0.0050%
	"Colbert County, AL"	"01033"	"2018"	"2018"	43	54762	78.5216	56.8261	105.7678	11.9744	0.0058%
	"Colbert County, AL"	"01033"	"2019"	"2019"	35	55241	63.3587	44.1319	88.1168	10.7096	0.0047%
	"Colbert County, AL"	"01033"	"2020"	"2020"	26	55411	46.9221	30.6509	68.7517	9.2022	0.0035%
	"Colbert County, AL"	"01033"	"2021 "	"2021"	38	57474	66.1169	46.7883	90.7507	10.7256	0.0051%
	"Coosa County, AL"	"01037"	"2019"	"2019"	10	10663	Unreliable	44.9723	172.4693	29.6565	0.0013%
	"Covington County, AL"	"01039"	"2018"	"2018"	17	36986	Unreliable	26.7755	73.5919	11.1477	0.0023%
	"Covington County, AL"	"01039"	"2019"	"2019"	11	37049	Unreliable	14.8215	53.1245	8.9520	0.0015%
	"Covington County, AL"	"01039"	"2020"	"2020"	32	36930	86.6504	59.2689	122.3244	15.3178	0.0043%
	"Covington County, AL"	"01039"	"2021 "	"2021"	27	37524	71.9539	47.4184	104.6894	13.8475	0.0036%
	"Cullman County, AL"	"01043"	"2018"	"2018"	49	83442	58.7234	43.4442	77.6353	8.3891	0.0066%
	"Cullman County, AL"	"01043"	"2019"	"2019"	49	83768	58.4949	43.2751	77.3332	8.3564	0.0066%
	"Cullman County, AL"	"01043"	"2020"	"2020"	58	84515	68.6269	52.1111	88.7160	9.0111	0.0078%
	"Cullman County, AL"	"01043"	"2021 "	"2021"	56	89496	62.5726	47.2667	81.2556	8.3616	0.0075%
	"Dale County, AL"	"01045"	"2018"	"2018"	36	48956	73.5354	51.5035	101.8039	12.2559	0.0048%
	"Dale County, AL"	"01045"	"2019"	"2019"	30	49172	61.0103	41.1637	87.0959	11.1389	0.0040%
	"Dale County, AL"	"01045"	"2020"	"2020"	31	48959	63.3183	43.0216	89.8752	11.3723	0.0042%
	"Dale County, AL"	"01045"	"2021 "	"2021"	35	49342	70.9335	49.4080	98.6515	11.9899	0.0047%
	"Dallas County, AL"	"01047"	"2018"	"2018"	19	38310	Unreliable	29.8599	77.4492	11.3780	0.0026%
	"Dallas County, AL"	"01047"	"2019"	"2019"	13	37196	Unreliable	18.6095	59.7655	9.6934	0.0017%
	"Dallas County, AL"	"01047"	"2020"	"2020"	13	36098	Unreliable	19.1755	61.5834	9.9882	0.0017%
	"Dallas County, AL"	"01047"	"2021 "	"2021"	13	37619	Unreliable	18.4002	59.0935	9.5844	0.0017%
	"DeKalb County, AL"	"01049"	"2018"	"2018"	37	71385	51.8316	36.4941	71.4431	8.5211	0.0050%
	"DeKalb County, AL"	"01049"	"2019"	"2019"	45	71513	62.9256	45.8986	84.1995	9.3804	0.0060%
	"DeKalb County, AL"	"01049"	"2020"	"2020"	50	71658	69.7759	51.7891	91.9911	9.8678	0.0067%
	"DeKalb County, AL"	"01049"	"2021 "	"2021"	40	71813	55.7002	39.7928	75.8481	8.8070	0.0054%
	"Elmore County, AL"	"01051"	"2018"	"2018"	32	81887	39.0782	26.7295	55.1668	6.9081	0.0043%
	"Elmore County, AL"	"01051"	"2019"	"2019"	36	81209	44.3301	31.0483	61.3714	7.3883	0.0048%
	"Elmore County, AL"	"01051"	"2020"	"2020"	48	82158	58.4240	43.0772	77.4615	8.4328	0.0065%
	"Elmore County, AL"	"01051"	"2021 "	"2021"	32	89304	35.8327	24.5095	50.5850	6.3344	0.0043%
	"Escambia County, AL"	"01053"	"2018"	"2018"	25	36748	68.0309	44.0262	100.4272	13.6062	0.0034%
	"Escambia County, AL"	"01053"	"2019"	"2019"	26	36633	70.9743	46.3625	103.9936	13.9192	0.0035%
	"Escambia County, AL"	"01053"	"2020"	"2020"	21	36281	57.8815	35.8298	88.4783	12.6308	0.0028%
	"Escambia County, AL"	"01053"	"2021 "	"2021"	38	36699	103.5451	73.2747	142.1239	16.7972	0.0051%
	"Etowah County, AL"	"01055"	"2018"	"2018"	73	102501	71.2188	55.8242	89.5470	8.3355	0.0098%
	"Etowah County, AL"	"01055"	"2019"	"2019"	77	102268	75.2924	59.4192	94.1027	8.5804	0.0103%
	"Etowah County, AL"	"01055"	"2020"	"2020"	58	102371	56.6567	43.0217	73.2418	7.4394	0.0078%
	"Etowah County, AL"	"01055"	"2021 "	"2021"	69	103162	66.8851	52.0406	84.6471	8.0520	0.0093%
	"Fayette County, AL"	"01057"	"2018"	"2018"	10	16433	Unreliable	29.1815	111.9114	19.2435	0.0013%
	"Fayette County, AL"	"01057"	"2019"	"2019"	11	16302	Unreliable	33.6842	120.7341	20.3449	0.0015%
	"Fayette County, AL"	"01057"	"2020"	"2020"	12	16241	Unreliable	38.1782	129.0659	21.3294	0.0016%
	"Fayette County, AL"	"01057"	"2021 "	"2021"	14	16148	Unreliable	47.3987	145.4646	23.1710	0.0019%
	"Franklin County, AL"	"01059"	"2018"	"2018"	13	31363	Unreliable	22.0705	70.8809	11.4962	0.0017%
	"Franklin County, AL"	"01059"	"2020"	"2020"	11	31507	Unreliable	17.4285	62.4689	10.5266	0.0015%
	"Franklin County, AL"	"01059"	"2021 "	"2021"	12	32013	Unreliable	19.3688	65.4784	10.8209	0.0016%
	"Geneva County, AL"	"01061"	"2018"	"2018"	13	26314	Unreliable	26.3053	84.4812	13.7020	0.0017%
	"Geneva County, AL"	"01061"	"2019"	"2019"	16	26271	Unreliable	34.8119	98.9039	15.2259	0.0022%
	"Geneva County, AL"	"01061"	"2020"	"2020"	20	26411	75.7260	46.2557	116.9528	16.9329	0.0027%
	"Geneva County, AL"	"01061"	"2021 "	"2021"	17	26701	Unreliable	37.0892	101.9389	15.4418	0.0023%
	"Hale County, AL"	"01065"	"2019"	"2019"	19	14651	Unreliable	78.0788	202.5171	29.7515	0.0026%
	"Hale County, AL"	"01065"	"2020"	"2020"	21	14670	143.1493	88.6123	218.8194	31.2377	0.0028%
	"Hale County, AL"	"01065"	"2021 "	"2021"	15	14754	Unreliable	56.9022	167.6850	26.2504	0.0020%
	"Henry County, AL"	"01067"	"2018"	"2018"	11	17209	Unreliable	31.9089	114.3709	19.2726	0.0015%
	"Henry County, AL"	"01067"	"2019"	"2019"	20	17205	116.2453	71.0061	179.5315	25.9932	0.0027%
	"Henry County, AL"	"01067"	"2020"	"2020"	19	17223	Unreliable	66.4189	172.2742	25.3086	0.0026%
	"Henry County, AL"	"01067"	"2021 "	"2021"	19	17459	Unreliable	65.5211	169.9455	24.9665	0.0026%
	"Houston County, AL"	"01069"	"2018"	"2018"	63	104722	60.1593	46.2282	76.9696	7.5794	0.0085%
	"Houston County, AL"	"01069"	"2019"	"2019"	64	105882	60.4446	46.5496	77.1866	7.5556	0.0086%
	"Houston County, AL"	"01069"	"2020"	"2020"	54	106580	50.6662	38.0619	66.1082	6.8948	0.0073%
	"Houston County, AL"	"01069"	"2021 "	"2021"	81	107458	75.3783	59.8609	93.6884	8.3754	0.0109%
	"Jackson County, AL"	"01071"	"2018"	"2018"	32	51736	61.8525	42.3071	87.3171	10.9341	0.0043%
	"Jackson County, AL"	"01071"	"2019"	"2019"	19	51626	Unreliable	22.1581	57.4726	8.4432	0.0026%
	"Jackson County, AL"	"01071"	"2020"	"2020"	29	51582	56.2212	37.6524	80.7431	10.4400	0.0039%
	"Jackson County, AL"	"01071"	"2021 "	"2021"	24	52773	45.4778	29.1385	67.6673	9.2831	0.0032%
	"Jefferson County, AL"	"01073"	"2018"	"2018"	465	659300	70.5293	64.1187	76.9400	3.2707	0.0625%
	"Jefferson County, AL"	"01073"	"2019"	"2019"	459	658573	69.6961	63.3200	76.0723	3.2531	0.0617%
	"Jefferson County, AL"	"01073"	"2020"	"2020"	424	655342	64.6990	58.5406	70.8575	3.1421	0.0570%
	"Jefferson County, AL"	"01073"	"2021 "	"2021"	360	667820	53.9067	48.3381	59.4754	2.8411	0.0484%
	"Lamar County, AL"	"01075"	"2019"	"2019"	14	13805	Unreliable	55.4432	170.1530	27.1036	0.0019%
	"Lauderdale County, AL"	"01077"	"2018"	"2018"	51	92387	55.2026	41.1022	72.5814	7.7299	0.0069%
	"Lauderdale County, AL"	"01077"	"2019"	"2019"	48	92729	51.7637	38.1664	68.6310	7.4715	0.0065%
	"Lauderdale County, AL"	"01077"	"2020"	"2020"	51	93368	54.6226	40.6703	71.8188	7.6487	0.0069%
	"Lauderdale County, AL"	"01077"	"2021 "	"2021"	52	94043	55.2939	41.2962	72.5107	7.6679	0.0070%
	"Lawrence County, AL"	"01079"	"2018"	"2018"	16	32957	Unreliable	27.7496	78.8392	12.1370	0.0022%
	"Lawrence County, AL"	"01079"	"2019"	"2019"	20	32924	60.7460	37.1055	93.8173	13.5832	0.0027%
	"Lawrence County, AL"	"01079"	"2020"	"2020"	15	32857	Unreliable	25.5512	75.2967	11.7874	0.0020%
	"Lawrence County, AL"	"01079"	"2021 "	"2021"	21	33090	63.4633	39.2850	97.0106	13.8488	0.0028%
	"Lee County, AL"	"01081"	"2018"	"2018"	53	163941	32.3287	24.2165	42.2866	4.4407	0.0071%
	"Lee County, AL"	"01081"	"2019"	"2019"	69	164542	41.9346	32.6276	53.0707	5.0483	0.0093%
	"Lee County, AL"	"01081"	"2020"	"2020"	52	166831	31.1693	23.2788	40.8744	4.3224	0.0070%
	"Lee County, AL"	"01081"	"2021 "	"2021"	59	177218	33.2923	25.3438	42.9448	4.3343	0.0079%
	"Limestone County, AL"	"01083"	"2018"	"2018"	50	96174	51.9891	38.5874	68.5414	7.3524	0.0067%
	"Limestone County, AL"	"01083"	"2019"	"2019"	32	98915	32.3510	22.1281	45.6699	5.7189	0.0043%
	"Limestone County, AL"	"01083"	"2020"	"2020"	48	102228	46.9539	34.6200	62.2538	6.7772	0.0065%
	"Limestone County, AL"	"01083"	"2021 "	"2021"	68	107517	63.2458	49.1129	80.1792	7.6697	0.0091%
	"Macon County, AL"	"01087"	"2019"	"2019"	10	18068	Unreliable	26.5408	101.7844	17.5021	0.0013%
	"Macon County, AL"	"01087"	"2020"	"2020"	16	17895	Unreliable	51.1061	145.1972	22.3526	0.0022%
	"Madison County, AL"	"01089"	"2018"	"2018"	140	366519	38.1972	31.8698	44.5246	3.2283	0.0188%
	"Madison County, AL"	"01089"	"2019"	"2019"	167	372909	44.7830	37.9908	51.5753	3.4654	0.0224%
	"Madison County, AL"	"01089"	"2020"	"2020"	175	379453	46.1190	39.2859	52.9521	3.4863	0.0235%
	"Madison County, AL"	"01089"	"2021 "	"2021"	154	395211	38.9665	32.8121	45.1210	3.1400	0.0207%
	"Marengo County, AL"	"01091"	"2018"	"2018"	11	19066	Unreliable	28.8010	103.2313	17.3955	0.0015%
	"Marengo County, AL"	"01091"	"2019"	"2019"	15	18863	Unreliable	44.5070	131.1576	20.5322	0.0020%
	"Marengo County, AL"	"01091"	"2020"	"2020"	21	18733	112.1016	69.3932	171.3597	24.4626	0.0028%
	"Marengo County, AL"	"01091"	"2021 "	"2021"	16	18996	Unreliable	48.1440	136.7816	21.0571	0.0022%
	"Marion County, AL"	"01093"	"2018"	"2018"	29	29763	97.4364	65.2551	139.9353	18.0935	0.0039%
	"Marion County, AL"	"01093"	"2019"	"2019"	15	29709	Unreliable	28.2586	83.2753	13.0364	0.0020%
	"Marion County, AL"	"01093"	"2020"	"2020"	23	29703	77.4333	49.0857	116.1878	16.1459	0.0031%
	"Marion County, AL"	"01093"	"2021 "	"2021"	22	29246	75.2240	47.1421	113.8898	16.0378	0.0030%
	"Marshall County, AL"	"01095"	"2018"	"2018"	54	96109	56.1862	42.2088	73.3106	7.6460	0.0073%
	"Marshall County, AL"	"01095"	"2019"	"2019"	42	96774	43.4001	31.2789	58.6643	6.6968	0.0056%
	"Marshall County, AL"	"01095"	"2020"	"2020"	54	96990	55.6758	41.8254	72.6447	7.5765	0.0073%
	"Marshall County, AL"	"01095"	"2021 "	"2021"	48	98228	48.8659	36.0298	64.7889	7.0532	0.0065%
	"Mobile County, AL"	"01097"	"2018"	"2018"	249	413757	60.1803	52.7053	67.6552	3.8138	0.0335%
	"Mobile County, AL"	"01097"	"2019"	"2019"	218	413210	52.7577	45.7542	59.7612	3.5732	0.0293%
	"Mobile County, AL"	"01097"	"2020"	"2020"	217	412716	52.5785	45.5828	59.5743	3.5693	0.0292%
	"Mobile County, AL"	"01097"	"2021 "	"2021"	174	413073	42.1233	35.8643	48.3823	3.1934	0.0234%
	"Monroe County, AL"	"01099"	"2019"	"2019"	14	20733	Unreliable	36.9167	113.2958	18.0469	0.0019%
	"Monroe County, AL"	"01099"	"2020"	"2020"	25	20459	122.1956	79.0789	180.3852	24.4391	0.0034%
	"Monroe County, AL"	"01099"	"2021 "	"2021"	29	19648	147.5977	98.8491	211.9754	27.4082	0.0039%
	"Montgomery County, AL"	"01101"	"2018"	"2018"	89	225763	39.4219	31.6589	48.5122	4.1787	0.0120%
	"Montgomery County, AL"	"01101"	"2019"	"2019"	89	226486	39.2960	31.5579	48.3573	4.1654	0.0120%
	"Montgomery County, AL"	"01101"	"2020"	"2020"	115	224639	51.1932	41.8366	60.5499	4.7738	0.0155%
	"Montgomery County, AL"	"01101"	"2021 "	"2021"	108	227434	47.4863	38.5303	56.4423	4.5694	0.0145%
	"Morgan County, AL"	"01103"	"2018"	"2018"	80	119089	67.1766	53.2671	83.6074	7.5106	0.0108%
	"Morgan County, AL"	"01103"	"2019"	"2019"	79	119679	66.0099	52.2607	82.2682	7.4267	0.0106%
	"Morgan County, AL"	"01103"	"2020"	"2020"	70	119883	58.3903	45.5181	73.7726	6.9790	0.0094%
	"Morgan County, AL"	"01103"	"2021 "	"2021"	77	123668	62.2635	49.1371	77.8188	7.0956	0.0103%
	"Perry County, AL"	"01105"	"2019"	"2019"	10	8923	Unreliable	53.7420	206.1011	35.4396	0.0013%
	"Perry County, AL"	"01105"	"2020"	"2020"	13	8687	Unreliable	79.6821	255.9041	41.5051	0.0017%
	"Pickens County, AL"	"01107"	"2018"	"2018"	15	19938	Unreliable	42.1073	124.0859	19.4251	0.0020%
	"Pickens County, AL"	"01107"	"2019"	"2019"	13	19930	Unreliable	34.7315	111.5423	18.0911	0.0017%
	"Pickens County, AL"	"01107"	"2020"	"2020"	15	19793	Unreliable	42.4158	124.9949	19.5674	0.0020%
	"Pickens County, AL"	"01107"	"2021 "	"2021"	22	18801	117.0151	73.3322	177.1620	24.9477	0.0030%
	"Pike County, AL"	"01109"	"2018"	"2018"	15	33338	Unreliable	25.1825	74.2104	11.6173	0.0020%
	"Pike County, AL"	"01109"	"2019"	"2019"	10	33114	Unreliable	14.4815	55.5366	9.5497	0.0013%
	"Pike County, AL"	"01109"	"2020"	"2020"	22	32966	66.7354	41.8224	101.0381	14.2280	0.0030%
	"Pike County, AL"	"01109"	"2021 "	"2021"	21	32991	63.6537	39.4029	97.3017	13.8904	0.0028%
	"Randolph County, AL"	"01111"	"2018"	"2018"	19	22725	Unreliable	50.3381	130.5645	19.1811	0.0026%
	"Randolph County, AL"	"01111"	"2019"	"2019"	21	22722	92.4214	57.2107	141.2763	20.1680	0.0028%
	"Randolph County, AL"	"01111"	"2020"	"2020"	27	22920	117.8010	77.6321	171.3946	22.6708	0.0036%
	"Randolph County, AL"	"01111"	"2021 "	"2021"	22	21989	100.0500	62.7004	151.4767	21.3307	0.0030%
	"Russell County, AL"	"01113"	"2018"	"2018"	29	57781	50.1895	33.6129	72.0807	9.3200	0.0039%
	"Russell County, AL"	"01113"	"2019"	"2019"	20	57961	34.5060	21.0773	53.2917	7.7158	0.0027%
	"Russell County, AL"	"01113"	"2020"	"2020"	20	58237	34.3424	20.9774	53.0391	7.6792	0.0027%
	"Russell County, AL"	"01113"	"2021 "	"2021"	29	58722	49.3852	33.0743	70.9256	9.1706	0.0039%
	"St. Clair County, AL"	"01115"	"2018"	"2018"	66	88690	74.4165	57.5537	94.6764	9.1600	0.0089%
	"St. Clair County, AL"	"01115"	"2019"	"2019"	58	89512	64.7958	49.2020	83.7635	8.5081	0.0078%
	"St. Clair County, AL"	"01115"	"2020"	"2020"	60	90739	66.1237	50.4597	85.1144	8.5365	0.0081%
	"St. Clair County, AL"	"01115"	"2021 "	"2021"	64	92748	69.0042	53.1415	88.1170	8.6255	0.0086%
	"Shelby County, AL"	"01117"	"2018"	"2018"	93	215707	43.1140	34.7986	52.8177	4.4707	0.0125%
	"Shelby County, AL"	"01117"	"2019"	"2019"	77	217702	35.3694	27.9129	44.2058	4.0307	0.0103%
	"Shelby County, AL"	"01117"	"2020"	"2020"	88	221428	39.7420	31.8743	48.9634	4.2365	0.0118%
	"Shelby County, AL"	"01117"	"2021 "	"2021"	68	226902	29.9689	23.2720	37.9928	3.6343	0.0091%
	"Sumter County, AL"	"01119"	"2018"	"2018"	10	12691	Unreliable	37.7858	144.9090	24.9175	0.0013%
	"Talladega County, AL"	"01121"	"2018"	"2018"	52	79828	65.1401	48.6498	85.4227	9.0333	0.0070%
	"Talladega County, AL"	"01121"	"2019"	"2019"	60	79978	75.0206	57.2490	96.5666	9.6851	0.0081%
	"Talladega County, AL"	"01121"	"2020"	"2020"	53	79985	66.2624	49.6352	86.6726	9.1018	0.0071%
	"Talladega County, AL"	"01121"	"2021 "	"2021"	59	81524	72.3713	55.0927	93.3539	9.4219	0.0079%
	"Tallapoosa County, AL"	"01123"	"2018"	"2018"	38	40497	93.8341	66.4026	128.7948	15.2219	0.0051%
	"Tallapoosa County, AL"	"01123"	"2019"	"2019"	37	40367	91.6590	64.5362	126.3401	15.0687	0.0050%
	"Tallapoosa County, AL"	"01123"	"2020"	"2020"	30	40133	74.7515	50.4348	106.7122	13.6477	0.0040%
	"Tallapoosa County, AL"	"01123"	"2021 "	"2021"	30	41023	73.1297	49.3406	104.3970	13.3516	0.0040%
	"Tuscaloosa County, AL"	"01125"	"2018"	"2018"	84	208911	40.2085	32.0719	49.7809	4.3871	0.0113%
	"Tuscaloosa County, AL"	"01125"	"2019"	"2019"	100	209355	47.7658	38.4037	57.1278	4.7766	0.0134%
	"Tuscaloosa County, AL"	"01125"	"2020"	"2020"	122	210758	57.8863	47.6144	68.1582	5.2408	0.0164%
	"Tuscaloosa County, AL"	"01125"	"2021 "	"2021"	103	227007	45.3731	36.6104	54.1357	4.4707	0.0138%
	"Walker County, AL"	"01127"	"2018"	"2018"	43	63711	67.4923	48.8442	90.9114	10.2925	0.0058%
	"Walker County, AL"	"01127"	"2019"	"2019"	47	63521	73.9913	54.3658	98.3929	10.7927	0.0063%
	"Walker County, AL"	"01127"	"2020"	"2020"	39	63143	61.7646	43.9208	84.4340	9.8902	0.0052%
	"Walker County, AL"	"01127"	"2021 "	"2021"	34	64818	52.4546	36.3264	73.3000	8.9959	0.0046%
	"Washington County, AL"	"01129"	"2018"	"2018"	12	16378	Unreliable	37.8588	127.9863	21.1509	0.0016%
	"Winston County, AL"	"01133"	"2018"	"2018"	19	23660	Unreliable	48.3488	125.4048	18.4231	0.0026%
	"Winston County, AL"	"01133"	"2019"	"2019"	10	23629	Unreliable	20.2946	77.8298	13.3830	0.0013%
	"Winston County, AL"	"01133"	"2020"	"2020"	12	23508	Unreliable	26.3762	89.1679	14.7358	0.0016%
	"Winston County, AL"	"01133"	"2021 "	"2021"	14	23652	Unreliable	32.3606	99.3135	15.8196	0.0019%
	"Anchorage Borough, AK"	"02020"	"2018"	"2018"	163	291538	55.9104	47.3271	64.4937	4.3792	0.0219%
	"Anchorage Borough, AK"	"02020"	"2019"	"2019"	188	288000	65.2778	55.9465	74.6091	4.7609	0.0253%
	"Anchorage Borough, AK"	"02020"	"2020"	"2020"	180	287095	62.6970	53.5376	71.8564	4.6732	0.0242%
	"Anchorage Borough, AK"	"02020"	"2021 "	"2021"	201	288121	69.7624	60.1179	79.4068	4.9207	0.0270%
	"Bethel Census Area, AK"	"02050"	"2018"	"2018"	14	18216	Unreliable	42.0177	128.9505	20.5405	0.0019%
	"Bethel Census Area, AK"	"02050"	"2019"	"2019"	21	18386	114.2173	70.7028	174.5938	24.9243	0.0028%
	"Bethel Census Area, AK"	"02050"	"2020"	"2020"	20	18437	108.4775	66.2613	167.5348	24.2563	0.0027%
	"Bethel Census Area, AK"	"02050"	"2021 "	"2021"	25	18557	134.7201	87.1841	198.8737	26.9440	0.0034%
	"Fairbanks North Star Borough, AK"	"02090"	"2018"	"2018"	42	98971	42.4367	30.5845	57.3621	6.5481	0.0056%
	"Fairbanks North Star Borough, AK"	"02090"	"2019"	"2019"	53	96849	54.7244	40.9924	71.5806	7.5170	0.0071%
	"Fairbanks North Star Borough, AK"	"02090"	"2020"	"2020"	38	95651	39.7278	28.1137	54.5295	6.4447	0.0051%
	"Fairbanks North Star Borough, AK"	"02090"	"2021 "	"2021"	68	95593	71.1349	55.2391	90.1806	8.6264	0.0091%
	"Juneau Borough, AK"	"02110"	"2018"	"2018"	15	32113	Unreliable	26.1432	77.0412	12.0605	0.0020%
	"Juneau Borough, AK"	"02110"	"2019"	"2019"	17	31974	Unreliable	30.9726	85.1276	12.8952	0.0023%
	"Juneau Borough, AK"	"02110"	"2020"	"2020"	21	31849	65.9361	40.8158	100.7906	14.3884	0.0028%
	"Juneau Borough, AK"	"02110"	"2021 "	"2021"	24	31973	75.0633	48.0946	111.6882	15.3222	0.0032%
	"Kenai Peninsula Borough, AK"	"02122"	"2018"	"2018"	41	58533	70.0460	50.2664	95.0250	10.9393	0.0055%
