"Notes"	"County"	"County Code"	"Single Race 6"	"Single Race 6 Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error	% of Total Deaths
	"Lauderdale County, AL"	"01077"	"Black or African American"	"2054-5"	34	37307	91.1357	63.1142	127.3530	15.6296	0.0032%
	"Lauderdale County, AL"	"01077"	"White"	"2106-3"	525	323533	162.2709	148.3900	176.1518	7.0821	0.0488%
	"Lawrence County, AL"	"01079"	"Black or African American"	"2054-5"	22	14120	155.8074	97.6429	235.8939	33.2182	0.0020%
	"Lawrence County, AL"	"01079"	"White"	"2106-3"	195	103276	188.8144	162.3127	215.3162	13.5213	0.0181%
	"Lee County, AL"	"01081"	"Black or African American"	"2054-5"	90	154536	58.2389	46.8310	71.5855	6.1389	0.0084%
	"Lee County, AL"	"01081"	"White"	"2106-3"	412	475234	86.6941	78.3228	95.0655	4.2711	0.0383%
	"Limestone County, AL"	"01083"	"Black or African American"	"2054-5"	22	56429	38.9870	24.4328	59.0268	8.3121	0.0020%
	"Limestone County, AL"	"01083"	"White"	"2106-3"	353	327445	107.8044	96.5582	119.0505	5.7378	0.0328%
	"Lowndes County, AL"	"01085"	"Black or African American"	"2054-5"	29	28526	101.6616	68.0848	146.0034	18.8781	0.0027%
	"Lowndes County, AL"	"01085"	"White"	"2106-3"	18	10152	Unreliable	105.0816	280.2181	41.7912	0.0017%
	"Macon County, AL"	"01087"	"Black or African American"	"2054-5"	48	58815	81.6118	60.1740	108.2050	11.7797	0.0045%
	"Macon County, AL"	"01087"	"White"	"2106-3"	18	12826	Unreliable	83.1739	221.7974	33.0784	0.0017%
	"Madison County, AL"	"01089"	"Black or African American"	"2054-5"	166	376220	44.1231	37.4109	50.8354	3.4246	0.0154%
	"Madison County, AL"	"01089"	"White"	"2106-3"	1075	1042220	103.1452	96.9792	109.3112	3.1459	0.1000%
	"Marengo County, AL"	"01091"	"Black or African American"	"2054-5"	37	39036	94.7843	66.7367	130.6478	15.5824	0.0034%
	"Marengo County, AL"	"01091"	"White"	"2106-3"	61	35257	173.0153	132.3429	222.2451	22.1523	0.0057%
	"Marion County, AL"	"01093"	"White"	"2106-3"	231	111103	207.9152	181.1027	234.7276	13.6798	0.0215%
	"Marshall County, AL"	"01095"	"White"	"2106-3"	623	360032	173.0402	159.4521	186.6283	6.9327	0.0580%
	"Mobile County, AL"	"01097"	"American Indian or Alaska Native"	"1002-5"	11	15474	Unreliable	35.4866	127.1945	21.4335	0.0010%
	"Mobile County, AL"	"01097"	"Black or African American"	"2054-5"	410	600542	68.2717	61.6631	74.8802	3.3717	0.0381%
	"Mobile County, AL"	"01097"	"White"	"2106-3"	1386	973061	142.4371	134.9382	149.9360	3.8260	0.1289%
	"Monroe County, AL"	"01099"	"Black or African American"	"2054-5"	36	33743	106.6888	74.7238	147.7021	17.7815	0.0033%
	"Monroe County, AL"	"01099"	"White"	"2106-3"	63	45177	139.4515	107.1587	178.4184	17.5692	0.0059%
	"Montgomery County, AL"	"01101"	"Black or African American"	"2054-5"	290	540036	53.7001	47.5195	59.8807	3.1534	0.0270%
	"Montgomery County, AL"	"01101"	"White"	"2106-3"	471	317065	148.5500	135.1341	161.9658	6.8448	0.0438%
	"Morgan County, AL"	"01103"	"Black or African American"	"2054-5"	40	63374	63.1174	45.0917	85.9482	9.9797	0.0037%
	"Morgan County, AL"	"01103"	"White"	"2106-3"	633	398626	158.7955	146.4248	171.1661	6.3116	0.0589%
	"Perry County, AL"	"01105"	"Black or African American"	"2054-5"	28	23785	117.7213	78.2246	170.1402	22.2472	0.0026%
	"Perry County, AL"	"01105"	"White"	"2106-3"	18	10675	Unreliable	99.9333	266.4894	39.7437	0.0017%
	"Pickens County, AL"	"01107"	"Black or African American"	"2054-5"	42	31456	133.5198	96.2291	180.4801	20.6026	0.0039%
	"Pickens County, AL"	"01107"	"White"	"2106-3"	96	45396	211.4724	171.2926	258.2437	21.5833	0.0089%
	"Pike County, AL"	"01109"	"Black or African American"	"2054-5"	32	50331	63.5791	43.4881	89.7546	11.2393	0.0030%
	"Pike County, AL"	"01109"	"White"	"2106-3"	97	75945	127.7240	103.5752	155.8131	12.9684	0.0090%
	"Randolph County, AL"	"01111"	"Black or African American"	"2054-5"	10	17289	Unreliable	27.7367	106.3705	18.2907	0.0009%
	"Randolph County, AL"	"01111"	"White"	"2106-3"	111	70558	157.3174	128.0508	186.5839	14.9319	0.0103%
	"Russell County, AL"	"01113"	"Black or African American"	"2054-5"	62	106683	58.1161	44.5570	74.5019	7.3808	0.0058%
	"Russell County, AL"	"01113"	"White"	"2106-3"	209	115480	180.9837	156.4467	205.5208	12.5189	0.0194%
	"St. Clair County, AL"	"01115"	"Black or African American"	"2054-5"	26	35600	73.0337	47.7078	107.0112	14.3231	0.0024%
	"St. Clair County, AL"	"01115"	"White"	"2106-3"	480	315576	152.1028	138.4955	165.7101	6.9425	0.0447%
	"Shelby County, AL"	"01117"	"Black or African American"	"2054-5"	24	119489	20.0855	12.8692	29.8857	4.0999	0.0022%
	"Shelby County, AL"	"01117"	"White"	"2106-3"	586	724990	80.8287	74.2843	87.3731	3.3390	0.0545%
	"Sumter County, AL"	"01119"	"Black or African American"	"2054-5"	29	35272	82.2182	55.0632	118.0793	15.2675	0.0027%
	"Sumter County, AL"	"01119"	"White"	"2106-3"	16	12780	Unreliable	71.5606	203.3102	31.2989	0.0015%
	"Talladega County, AL"	"01121"	"Black or African American"	"2054-5"	83	106198	78.1559	62.2504	96.8860	8.5787	0.0077%
	"Talladega County, AL"	"01121"	"White"	"2106-3"	408	205857	198.1958	178.9640	217.4277	9.8122	0.0380%
	"Tallapoosa County, AL"	"01123"	"Black or African American"	"2054-5"	34	43796	77.6327	53.7629	108.4839	13.3139	0.0032%
	"Tallapoosa County, AL"	"01123"	"White"	"2106-3"	226	114193	197.9106	172.1075	223.7136	13.1648	0.0210%
	"Tuscaloosa County, AL"	"01125"	"Black or African American"	"2054-5"	184	278631	66.0372	56.4952	75.5791	4.8683	0.0171%
	"Tuscaloosa County, AL"	"01125"	"White"	"2106-3"	602	548228	109.8083	101.0364	118.5802	4.4755	0.0560%
	"Walker County, AL"	"01127"	"Black or African American"	"2054-5"	17	15738	Unreliable	62.9253	172.9489	26.1984	0.0016%
	"Walker County, AL"	"01127"	"White"	"2106-3"	467	232012	201.2827	183.0268	219.5386	9.3143	0.0434%
	"Washington County, AL"	"01129"	"White"	"2106-3"	66	42279	156.1059	120.7323	198.6057	19.2153	0.0061%
	"Wilcox County, AL"	"01131"	"Black or African American"	"2054-5"	18	29456	Unreliable	36.2163	96.5771	14.4033	0.0017%
	"Wilcox County, AL"	"01131"	"White"	"2106-3"	17	11552	Unreliable	85.7270	235.6189	35.6917	0.0016%
	"Winston County, AL"	"01133"	"White"	"2106-3"	168	90659	185.3098	157.2877	213.3318	14.2970	0.0156%
	"Anchorage Borough, AK"	"02020"	"American Indian or Alaska Native"	"1002-5"	89	104899	84.8435	68.1361	104.4076	8.9934	0.0083%
	"Anchorage Borough, AK"	"02020"	"Asian"	"A"	23	116010	19.8259	12.5678	29.7485	4.1340	0.0021%
	"Anchorage Borough, AK"	"02020"	"Black or African American"	"2054-5"	14	68666	Unreliable	11.1466	34.2085	5.4491	0.0013%
	"Anchorage Borough, AK"	"02020"	"White"	"2106-3"	384	731988	52.4599	47.2128	57.7070	2.6771	0.0357%
	"Anchorage Borough, AK"	"02020"	"More than one race"	"M"	15	98905	Unreliable	8.4883	25.0142	3.9159	0.0014%
	"Bethel Census Area, AK"	"02050"	"American Indian or Alaska Native"	"1002-5"	39	61866	63.0395	44.8274	86.1768	10.0944	0.0036%
	"Dillingham Census Area, AK"	"02070"	"American Indian or Alaska Native"	"1002-5"	12	14213	Unreliable	43.6257	147.4819	24.3728	0.0011%
	"Fairbanks North Star Borough, AK"	"02090"	"American Indian or Alaska Native"	"1002-5"	23	31422	73.1971	46.4004	109.8316	15.2627	0.0021%
	"Fairbanks North Star Borough, AK"	"02090"	"White"	"2106-3"	124	292251	42.4293	34.9612	49.8974	3.8103	0.0115%
	"Juneau Borough, AK"	"02110"	"American Indian or Alaska Native"	"1002-5"	15	15298	Unreliable	54.8787	161.7221	25.3169	0.0014%
	"Juneau Borough, AK"	"02110"	"White"	"2106-3"	36	87561	41.1142	28.7960	56.9193	6.8524	0.0033%
	"Kenai Peninsula Borough, AK"	"02122"	"American Indian or Alaska Native"	"1002-5"	14	19010	Unreliable	40.2627	123.5645	19.6826	0.0013%
	"Kenai Peninsula Borough, AK"	"02122"	"White"	"2106-3"	130	196290	66.2285	54.8436	77.6134	5.8086	0.0121%
	"Ketchikan Gateway Borough, AK"	"02130"	"American Indian or Alaska Native"	"1002-5"	11	7749	Unreliable	70.8633	253.9951	42.8007	0.0010%
	"Ketchikan Gateway Borough, AK"	"02130"	"White"	"2106-3"	24	37023	64.8246	41.5344	96.4538	13.2323	0.0022%
	"Kodiak Island Borough, AK"	"02150"	"American Indian or Alaska Native"	"1002-5"	14	6719	Unreliable	113.9149	349.5999	55.6877	0.0013%
	"Kodiak Island Borough, AK"	"02150"	"White"	"2106-3"	17	28330	Unreliable	34.9565	96.0773	14.5538	0.0016%
	"Matanuska-Susitna Borough, AK"	"02170"	"American Indian or Alaska Native"	"1002-5"	16	30282	Unreliable	30.2009	85.8036	13.2092	0.0015%
	"Matanuska-Susitna Borough, AK"	"02170"	"White"	"2106-3"	200	359505	55.6320	47.9218	63.3423	3.9338	0.0186%
	"Nome Census Area, AK"	"02180"	"American Indian or Alaska Native"	"1002-5"	27	30086	89.7427	59.1414	130.5712	17.2710	0.0025%
	"North Slope Borough, AK"	"02185"	"American Indian or Alaska Native"	"1002-5"	12	21583	Unreliable	28.7287	97.1209	16.0501	0.0011%
	"Northwest Arctic Borough, AK"	"02188"	"American Indian or Alaska Native"	"1002-5"	16	24262	Unreliable	37.6945	107.0936	16.4867	0.0015%
	"Sitka Borough, AK"	"02220"	"American Indian or Alaska Native"	"1002-5"	12	5411	Unreliable	114.5910	387.3887	64.0196	0.0011%
	"Sitka Borough, AK"	"02220"	"White"	"2106-3"	13	22220	Unreliable	31.1520	100.0468	16.2266	0.0012%
	"Valdez-Cordova Census Area, AK"	"02261"	"White"	"2106-3"	12	13281	Unreliable	46.6871	157.8315	26.0831	0.0011%
	"Wade Hampton Census Area, AK"	"02270"	"American Indian or Alaska Native"	"1002-5"	18	30739	Unreliable	34.7047	92.5461	13.8021	0.0017%
	"Yukon-Koyukuk Census Area, AK"	"02290"	"American Indian or Alaska Native"	"1002-5"	11	14469	Unreliable	37.9515	136.0293	22.9223	0.0010%
	"Apache County, AZ"	"04001"	"American Indian or Alaska Native"	"1002-5"	151	210448	71.7517	60.3071	83.1963	5.8391	0.0140%
	"Apache County, AZ"	"04001"	"White"	"2106-3"	119	63045	188.7541	154.8401	222.6681	17.3031	0.0111%
	"Cochise County, AZ"	"04003"	"Black or African American"	"2054-5"	13	23163	Unreliable	29.8838	95.9737	15.5660	0.0012%
	"Cochise County, AZ"	"04003"	"White"	"2106-3"	594	443225	134.0177	123.2400	144.7954	5.4988	0.0553%
	"Coconino County, AZ"	"04005"	"American Indian or Alaska Native"	"1002-5"	80	157618	50.7556	40.2462	63.1699	5.6747	0.0074%
	"Coconino County, AZ"	"04005"	"White"	"2106-3"	209	376952	55.4447	47.9277	62.9617	3.8352	0.0194%
	"Gila County, AZ"	"04007"	"American Indian or Alaska Native"	"1002-5"	34	39023	87.1281	60.3388	121.7528	14.9423	0.0032%
	"Gila County, AZ"	"04007"	"White"	"2106-3"	289	168821	171.1872	151.4504	190.9241	10.0698	0.0269%
	"Graham County, AZ"	"04009"	"American Indian or Alaska Native"	"1002-5"	13	20696	Unreliable	33.4460	107.4139	17.4215	0.0012%
	"Graham County, AZ"	"04009"	"White"	"2106-3"	111	127000	87.4016	71.1418	103.6613	8.2958	0.0103%
	"Greenlee County, AZ"	"04011"	"White"	"2106-3"	17	33945	Unreliable	29.1742	80.1847	12.1464	0.0016%
	"La Paz County, AZ"	"04012"	"American Indian or Alaska Native"	"1002-5"	14	14565	Unreliable	52.5502	161.2744	25.6894	0.0013%
	"La Paz County, AZ"	"04012"	"White"	"2106-3"	123	61106	201.2896	165.7162	236.8629	18.1497	0.0114%
	"Maricopa County, AZ"	"04013"	"American Indian or Alaska Native"	"1002-5"	143	514638	27.7865	23.2322	32.3408	2.3236	0.0133%
	"Maricopa County, AZ"	"04013"	"Asian"	"A"	194	844965	22.9595	19.7287	26.1904	1.6484	0.0180%
	"Maricopa County, AZ"	"04013"	"Black or African American"	"2054-5"	438	1162554	37.6757	34.1473	41.2041	1.8002	0.0407%
	"Maricopa County, AZ"	"04013"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	18	52733	Unreliable	20.2300	53.9468	8.0455	0.0017%
	"Maricopa County, AZ"	"04013"	"White"	"2106-3"	11417	14833101	76.9697	75.5579	78.3816	0.7204	1.0620%
	"Maricopa County, AZ"	"04013"	"More than one race"	"M"	106	563916	18.7971	15.2187	22.3756	1.8257	0.0099%
	"Mohave County, AZ"	"04015"	"American Indian or Alaska Native"	"1002-5"	10	25984	Unreliable	18.4552	70.7759	12.1701	0.0009%
	"Mohave County, AZ"	"04015"	"White"	"2106-3"	1678	783979	214.0363	203.7952	224.2775	5.2251	0.1561%
	"Mohave County, AZ"	"04015"	"More than one race"	"M"	18	21859	Unreliable	48.8031	130.1420	19.4091	0.0017%
	"Navajo County, AZ"	"04017"	"American Indian or Alaska Native"	"1002-5"	146	199786	73.0782	61.2241	84.9323	6.0480	0.0136%
	"Navajo County, AZ"	"04017"	"White"	"2106-3"	345	223764	154.1803	137.9108	170.4498	8.3008	0.0321%
	"Pima County, AZ"	"04019"	"American Indian or Alaska Native"	"1002-5"	80	184035	43.4700	34.4691	54.1023	4.8601	0.0074%
	"Pima County, AZ"	"04019"	"Asian"	"A"	42	141174	29.7505	21.4415	40.2141	4.5906	0.0039%
	"Pima County, AZ"	"04019"	"Black or African American"	"2054-5"	86	178881	48.0767	38.4551	59.3742	5.1842	0.0080%
	"Pima County, AZ"	"04019"	"White"	"2106-3"	3610	3554653	101.5570	98.2441	104.8700	1.6903	0.3358%
	"Pima County, AZ"	"04019"	"More than one race"	"M"	15	130645	Unreliable	6.4261	18.9370	2.9645	0.0014%
	"Pinal County, AZ"	"04021"	"American Indian or Alaska Native"	"1002-5"	57	121012	47.1028	35.6752	61.0273	6.2389	0.0053%
	"Pinal County, AZ"	"04021"	"Black or African American"	"2054-5"	35	100804	34.7208	24.1845	48.2884	5.8689	0.0033%
	"Pinal County, AZ"	"04021"	"White"	"2106-3"	1288	1517481	84.8775	80.2421	89.5129	2.3650	0.1198%
	"Pinal County, AZ"	"04021"	"More than one race"	"M"	18	57537	Unreliable	18.5409	49.4425	7.3738	0.0017%
	"Santa Cruz County, AZ"	"04023"	"White"	"2106-3"	94	179263	52.4369	42.3743	64.1697	5.4085	0.0087%
	"Yavapai County, AZ"	"04025"	"American Indian or Alaska Native"	"1002-5"	17	20477	Unreliable	48.3625	132.9233	20.1353	0.0016%
	"Yavapai County, AZ"	"04025"	"White"	"2106-3"	1408	884838	159.1252	150.8134	167.4369	4.2407	0.1310%
	"Yuma County, AZ"	"04027"	"American Indian or Alaska Native"	"1002-5"	10	20019	Unreliable	23.9542	91.8647	15.7964	0.0009%
	"Yuma County, AZ"	"04027"	"White"	"2106-3"	602	774931	77.6843	71.4786	83.8900	3.1662	0.0560%
	"Arkansas County, AR"	"05001"	"Black or African American"	"2054-5"	15	17457	Unreliable	48.0916	141.7211	22.1858	0.0014%
	"Arkansas County, AR"	"05001"	"White"	"2106-3"	123	49636	247.8040	204.0103	291.5977	22.3437	0.0114%
	"Ashley County, AR"	"05003"	"Black or African American"	"2054-5"	15	19153	Unreliable	43.8331	129.1717	20.2213	0.0014%
	"Ashley County, AR"	"05003"	"White"	"2106-3"	105	56530	185.7421	150.2140	221.2702	18.1266	0.0098%
	"Baxter County, AR"	"05005"	"White"	"2106-3"	357	161938	220.4547	197.5860	243.3234	11.6677	0.0332%
	"Benton County, AR"	"05007"	"White"	"2106-3"	813	999815	81.3150	75.7254	86.9047	2.8518	0.0756%
	"Boone County, AR"	"05009"	"White"	"2106-3"	212	144094	147.1262	127.3210	166.9313	10.1047	0.0197%
	"Bradley County, AR"	"05011"	"White"	"2106-3"	46	29240	157.3187	115.1778	209.8412	23.1954	0.0043%
	"Calhoun County, AR"	"05013"	"White"	"2106-3"	34	15410	220.6360	152.7970	308.3167	37.8388	0.0032%
	"Carroll County, AR"	"05015"	"White"	"2106-3"	131	104244	125.6667	104.1468	147.1866	10.9796	0.0122%
	"Chicot County, AR"	"05017"	"Black or African American"	"2054-5"	22	21966	100.1548	62.7660	151.6353	21.3531	0.0020%
	"Chicot County, AR"	"05017"	"White"	"2106-3"	43	17528	245.3218	177.5394	330.4460	37.4112	0.0040%
	"Clark County, AR"	"05019"	"Black or African American"	"2054-5"	19	21330	Unreliable	53.6302	139.1035	20.4355	0.0018%
	"Clark County, AR"	"05019"	"White"	"2106-3"	80	63587	125.8119	99.7613	156.5842	14.0662	0.0074%
	"Clay County, AR"	"05021"	"White"	"2106-3"	120	56238	213.3789	175.2005	251.5572	19.4787	0.0112%
	"Cleburne County, AR"	"05023"	"White"	"2106-3"	197	96271	204.6307	176.0552	233.2062	14.5793	0.0183%
	"Cleveland County, AR"	"05025"	"White"	"2106-3"	51	27122	188.0392	140.0084	247.2377	26.3308	0.0047%
	"Columbia County, AR"	"05027"	"Black or African American"	"2054-5"	27	33189	81.3523	53.6119	118.3635	15.6562	0.0025%
	"Columbia County, AR"	"05027"	"White"	"2106-3"	87	57017	152.5861	122.2153	188.2149	16.3589	0.0081%
	"Conway County, AR"	"05029"	"Black or African American"	"2054-5"	12	9626	Unreliable	64.4143	217.7602	35.9869	0.0011%
	"Conway County, AR"	"05029"	"White"	"2106-3"	142	70802	200.5593	167.5714	233.5472	16.8306	0.0132%
	"Craighead County, AR"	"05031"	"Black or African American"	"2054-5"	28	75116	37.2757	24.7693	53.8738	7.0444	0.0026%
	"Craighead County, AR"	"05031"	"White"	"2106-3"	412	351360	117.2587	105.9359	128.5814	5.7769	0.0383%
	"Crawford County, AR"	"05033"	"White"	"2106-3"	306	226914	134.8529	119.7432	149.9625	7.7090	0.0285%
	"Crittenden County, AR"	"05035"	"Black or African American"	"2054-5"	80	104836	76.3097	60.5090	94.9742	8.5317	0.0074%
	"Crittenden County, AR"	"05035"	"White"	"2106-3"	164	81652	200.8524	170.1119	231.5929	15.6839	0.0153%
	"Cross County, AR"	"05037"	"White"	"2106-3"	112	48710	229.9323	187.3482	272.5163	21.7266	0.0104%
	"Dallas County, AR"	"05039"	"White"	"2106-3"	38	15318	248.0742	175.5522	340.5016	40.2429	0.0035%
	"Desha County, AR"	"05041"	"Black or African American"	"2054-5"	18	21735	Unreliable	49.0816	130.8845	19.5199	0.0017%
	"Desha County, AR"	"05041"	"White"	"2106-3"	52	22032	236.0203	176.2718	309.5100	32.7301	0.0048%
	"Drew County, AR"	"05043"	"Black or African American"	"2054-5"	16	20081	Unreliable	45.5428	129.3912	19.9193	0.0015%
	"Drew County, AR"	"05043"	"White"	"2106-3"	71	49616	143.0990	111.7618	180.4994	16.9827	0.0066%
