"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error	% of Total Deaths
	"Coffee County, AL"	"01031"	"2020"	"2020"	57	53230	107.0825	81.1032	138.7382	14.1834	0.0053%
	"Coffee County, AL"	"01031"	"2021 "	"2021"	50	54174	92.2952	68.5033	121.6801	13.0525	0.0047%
	"Colbert County, AL"	"01033"	"2018"	"2018"	97	54762	177.1301	143.6401	216.0846	17.9848	0.0090%
	"Colbert County, AL"	"01033"	"2019"	"2019"	78	55241	141.1995	111.6125	176.2240	15.9877	0.0073%
	"Colbert County, AL"	"01033"	"2020"	"2020"	90	55411	162.4226	130.6073	199.6450	17.1208	0.0084%
	"Colbert County, AL"	"01033"	"2021 "	"2021"	77	57474	133.9736	105.7293	167.4443	15.2677	0.0072%
	"Conecuh County, AL"	"01035"	"2018"	"2018"	24	12277	195.4875	125.2527	290.8698	39.9037	0.0022%
	"Conecuh County, AL"	"01035"	"2019"	"2019"	24	12067	198.8895	127.4325	295.9317	40.5982	0.0022%
	"Conecuh County, AL"	"01035"	"2020"	"2020"	16	11851	Unreliable	77.1702	219.2477	33.7524	0.0015%
	"Conecuh County, AL"	"01035"	"2021 "	"2021"	19	11328	Unreliable	100.9828	261.9243	38.4790	0.0018%
	"Coosa County, AL"	"01037"	"2018"	"2018"	22	10715	205.3196	128.6718	310.8560	43.7743	0.0020%
	"Coosa County, AL"	"01037"	"2019"	"2019"	19	10663	Unreliable	107.2806	278.2592	40.8787	0.0018%
	"Coosa County, AL"	"01037"	"2020"	"2020"	18	10650	Unreliable	100.1679	267.1149	39.8370	0.0017%
	"Coosa County, AL"	"01037"	"2021 "	"2021"	22	10450	210.5263	131.9347	318.7389	44.8844	0.0020%
	"Covington County, AL"	"01039"	"2018"	"2018"	52	36986	140.5937	105.0024	184.3704	19.4968	0.0048%
	"Covington County, AL"	"01039"	"2019"	"2019"	62	37049	167.3459	128.3025	214.5291	21.2530	0.0058%
	"Covington County, AL"	"01039"	"2020"	"2020"	64	36930	173.3008	133.4624	221.3017	21.6626	0.0060%
	"Covington County, AL"	"01039"	"2021 "	"2021"	87	37524	231.8516	185.7039	285.9890	24.8571	0.0081%
	"Crenshaw County, AL"	"01041"	"2018"	"2018"	25	13824	180.8449	117.0338	266.9633	36.1690	0.0023%
	"Crenshaw County, AL"	"01041"	"2019"	"2019"	17	13772	Unreliable	71.9081	197.6380	29.9383	0.0016%
	"Crenshaw County, AL"	"01041"	"2020"	"2020"	28	13681	204.6634	135.9968	295.7959	38.6777	0.0026%
	"Crenshaw County, AL"	"01041"	"2021 "	"2021"	23	13083	175.8007	111.4418	263.7871	36.6570	0.0021%
	"Cullman County, AL"	"01043"	"2018"	"2018"	143	83442	171.3765	143.2873	199.4657	14.3312	0.0133%
	"Cullman County, AL"	"01043"	"2019"	"2019"	130	83768	155.1905	128.5128	181.8683	13.6111	0.0121%
	"Cullman County, AL"	"01043"	"2020"	"2020"	119	84515	140.8034	115.5049	166.1020	12.9074	0.0111%
	"Cullman County, AL"	"01043"	"2021 "	"2021"	127	89496	141.9058	117.2253	166.5863	12.5921	0.0118%
	"Dale County, AL"	"01045"	"2018"	"2018"	62	48956	126.6443	97.0969	162.3517	16.0838	0.0058%
	"Dale County, AL"	"01045"	"2019"	"2019"	81	49172	164.7279	130.8170	204.7419	18.3031	0.0075%
	"Dale County, AL"	"01045"	"2020"	"2020"	48	48959	98.0412	72.2878	129.9879	14.1510	0.0045%
	"Dale County, AL"	"01045"	"2021 "	"2021"	61	49342	123.6269	94.5647	158.8037	15.8288	0.0057%
	"Dallas County, AL"	"01047"	"2018"	"2018"	47	38310	122.6834	90.1428	163.1431	17.8952	0.0044%
	"Dallas County, AL"	"01047"	"2019"	"2019"	40	37196	107.5384	76.8265	146.4373	17.0033	0.0037%
	"Dallas County, AL"	"01047"	"2020"	"2020"	50	36098	138.5118	102.8062	182.6112	19.5885	0.0047%
	"Dallas County, AL"	"01047"	"2021 "	"2021"	46	37619	122.2786	89.5239	163.1026	18.0290	0.0043%
	"DeKalb County, AL"	"01049"	"2018"	"2018"	111	71385	155.4949	126.5674	184.4223	14.7589	0.0103%
	"DeKalb County, AL"	"01049"	"2019"	"2019"	93	71513	130.0463	104.9643	159.3158	13.4852	0.0087%
	"DeKalb County, AL"	"01049"	"2020"	"2020"	114	71658	159.0890	129.8849	188.2931	14.9001	0.0106%
	"DeKalb County, AL"	"01049"	"2021 "	"2021"	119	71813	165.7082	135.9349	195.4814	15.1904	0.0111%
	"Elmore County, AL"	"01051"	"2018"	"2018"	93	81887	113.5711	91.6667	139.1326	11.7768	0.0087%
	"Elmore County, AL"	"01051"	"2019"	"2019"	91	81209	112.0565	90.2212	137.5808	11.7467	0.0085%
	"Elmore County, AL"	"01051"	"2020"	"2020"	87	82158	105.8935	84.8165	130.6197	11.3530	0.0081%
	"Elmore County, AL"	"01051"	"2021 "	"2021"	107	89304	119.8155	97.1128	142.5181	11.5830	0.0100%
	"Escambia County, AL"	"01053"	"2018"	"2018"	47	36748	127.8981	93.9744	170.0776	18.6559	0.0044%
	"Escambia County, AL"	"01053"	"2019"	"2019"	46	36633	125.5698	91.9334	167.4926	18.5143	0.0043%
	"Escambia County, AL"	"01053"	"2020"	"2020"	54	36281	148.8382	111.8117	194.2012	20.2543	0.0050%
	"Escambia County, AL"	"01053"	"2021 "	"2021"	50	36699	136.2435	101.1226	179.6207	19.2677	0.0047%
	"Etowah County, AL"	"01055"	"2018"	"2018"	254	102501	247.8025	217.3274	278.2775	15.5485	0.0236%
	"Etowah County, AL"	"01055"	"2019"	"2019"	196	102268	191.6533	164.8218	218.4848	13.6895	0.0182%
	"Etowah County, AL"	"01055"	"2020"	"2020"	172	102371	168.0163	142.9065	193.1261	12.8111	0.0160%
	"Etowah County, AL"	"01055"	"2021 "	"2021"	183	103162	177.3909	151.6892	203.0926	13.1131	0.0170%
	"Fayette County, AL"	"01057"	"2018"	"2018"	26	16433	158.2182	103.3529	231.8261	31.0291	0.0024%
	"Fayette County, AL"	"01057"	"2019"	"2019"	35	16302	214.6976	149.5455	298.5928	36.2905	0.0033%
	"Fayette County, AL"	"01057"	"2020"	"2020"	27	16241	166.2459	109.5577	241.8795	31.9940	0.0025%
	"Fayette County, AL"	"01057"	"2021 "	"2021"	36	16148	222.9378	156.1434	308.6396	37.1563	0.0033%
	"Franklin County, AL"	"01059"	"2018"	"2018"	42	31363	133.9158	96.5144	181.0153	20.6637	0.0039%
	"Franklin County, AL"	"01059"	"2019"	"2019"	60	31362	191.3143	145.9939	246.2598	24.6986	0.0056%
	"Franklin County, AL"	"01059"	"2020"	"2020"	63	31507	199.9556	153.6519	255.8291	25.1920	0.0059%
	"Franklin County, AL"	"01059"	"2021 "	"2021"	65	32013	203.0425	156.7042	258.7939	25.1843	0.0060%
	"Geneva County, AL"	"01061"	"2018"	"2018"	46	26314	174.8119	127.9850	233.1746	25.7746	0.0043%
	"Geneva County, AL"	"01061"	"2019"	"2019"	45	26271	171.2915	124.9418	229.2018	25.5346	0.0042%
	"Geneva County, AL"	"01061"	"2020"	"2020"	51	26411	193.1014	143.7775	253.8935	27.0396	0.0047%
	"Geneva County, AL"	"01061"	"2021 "	"2021"	48	26701	179.7685	132.5469	238.3461	25.9474	0.0045%
	"Greene County, AL"	"01063"	"2018"	"2018"	11	8233	Unreliable	66.6974	239.0633	40.2845	0.0010%
	"Greene County, AL"	"01063"	"2019"	"2019"	11	8111	Unreliable	67.7007	242.6591	40.8905	0.0010%
	"Greene County, AL"	"01063"	"2020"	"2020"	12	7990	Unreliable	77.6035	262.3479	43.3555	0.0011%
	"Greene County, AL"	"01063"	"2021 "	"2021"	11	7629	Unreliable	71.9780	257.9903	43.4739	0.0010%
	"Hale County, AL"	"01065"	"2018"	"2018"	19	14726	Unreliable	77.6812	201.4857	29.6000	0.0018%
	"Hale County, AL"	"01065"	"2019"	"2019"	21	14651	143.3349	88.7272	219.1032	31.2782	0.0020%
	"Hale County, AL"	"01065"	"2020"	"2020"	27	14670	184.0491	121.2902	267.7822	35.4203	0.0025%
	"Hale County, AL"	"01065"	"2021 "	"2021"	24	14754	162.6678	104.2245	242.0366	33.2044	0.0022%
	"Henry County, AL"	"01067"	"2018"	"2018"	25	17209	145.2728	94.0133	214.4517	29.0546	0.0023%
	"Henry County, AL"	"01067"	"2019"	"2019"	18	17205	Unreliable	62.0045	165.3458	24.6593	0.0017%
	"Henry County, AL"	"01067"	"2020"	"2020"	23	17223	133.5424	84.6538	200.3790	27.8455	0.0021%
	"Henry County, AL"	"01067"	"2021 "	"2021"	19	17459	Unreliable	65.5211	169.9455	24.9665	0.0018%
	"Houston County, AL"	"01069"	"2018"	"2018"	111	104722	105.9949	86.2762	125.7137	10.0606	0.0103%
	"Houston County, AL"	"01069"	"2019"	"2019"	113	105882	106.7226	87.0449	126.4002	10.0396	0.0105%
	"Houston County, AL"	"01069"	"2020"	"2020"	113	106580	106.0236	86.4749	125.5724	9.9739	0.0105%
	"Houston County, AL"	"01069"	"2021 "	"2021"	97	107458	90.2678	73.2009	110.1195	9.1653	0.0090%
	"Jackson County, AL"	"01071"	"2018"	"2018"	95	51736	183.6246	148.5633	224.4718	18.8395	0.0088%
	"Jackson County, AL"	"01071"	"2019"	"2019"	86	51626	166.5827	133.2445	205.7280	17.9631	0.0080%
	"Jackson County, AL"	"01071"	"2020"	"2020"	103	51582	199.6821	161.1186	238.2456	19.6753	0.0096%
	"Jackson County, AL"	"01071"	"2021 "	"2021"	94	52773	178.1214	143.9399	217.9760	18.3718	0.0087%
	"Jefferson County, AL"	"01073"	"2018"	"2018"	749	659300	113.6053	105.4693	121.7414	4.1510	0.0697%
	"Jefferson County, AL"	"01073"	"2019"	"2019"	660	658573	100.2167	92.5709	107.8625	3.9009	0.0614%
	"Jefferson County, AL"	"01073"	"2020"	"2020"	657	655342	100.2530	92.5870	107.9190	3.9112	0.0611%
	"Jefferson County, AL"	"01073"	"2021 "	"2021"	657	667820	98.3798	90.8570	105.9026	3.8382	0.0611%
	"Lamar County, AL"	"01075"	"2018"	"2018"	21	13844	151.6903	93.8993	231.8753	33.1015	0.0020%
	"Lamar County, AL"	"01075"	"2019"	"2019"	27	13805	195.5813	128.8900	284.5610	37.6396	0.0025%
	"Lamar County, AL"	"01075"	"2020"	"2020"	32	13764	232.4906	159.0235	328.2069	41.0989	0.0030%
	"Lamar County, AL"	"01075"	"2021 "	"2021"	21	13689	153.4078	94.9625	234.5008	33.4763	0.0020%
	"Lauderdale County, AL"	"01077"	"2018"	"2018"	151	92387	163.4429	137.3733	189.5125	13.3008	0.0140%
	"Lauderdale County, AL"	"01077"	"2019"	"2019"	152	92729	163.9185	137.8592	189.9778	13.2955	0.0141%
	"Lauderdale County, AL"	"01077"	"2020"	"2020"	143	93368	153.1574	128.0544	178.2604	12.8077	0.0133%
	"Lauderdale County, AL"	"01077"	"2021 "	"2021"	114	94043	121.2211	98.9685	143.4738	11.3534	0.0106%
	"Lawrence County, AL"	"01079"	"2018"	"2018"	65	32957	197.2267	152.2156	251.3812	24.4630	0.0060%
	"Lawrence County, AL"	"01079"	"2019"	"2019"	37	32924	112.3800	79.1257	154.9013	18.4752	0.0034%
	"Lawrence County, AL"	"01079"	"2020"	"2020"	55	32857	167.3920	126.1031	217.8842	22.5711	0.0051%
	"Lawrence County, AL"	"01079"	"2021 "	"2021"	62	33090	187.3678	143.6530	240.1961	23.7957	0.0058%
	"Lee County, AL"	"01081"	"2018"	"2018"	117	163941	71.3671	58.4353	84.2990	6.5979	0.0109%
	"Lee County, AL"	"01081"	"2019"	"2019"	135	164542	82.0459	68.2056	95.8862	7.0614	0.0126%
	"Lee County, AL"	"01081"	"2020"	"2020"	133	166831	79.7214	66.1725	93.2703	6.9127	0.0124%
	"Lee County, AL"	"01081"	"2021 "	"2021"	122	177218	68.8418	56.6258	81.0577	6.2326	0.0113%
	"Limestone County, AL"	"01083"	"2018"	"2018"	85	96174	88.3815	70.5956	109.2855	9.5863	0.0079%
	"Limestone County, AL"	"01083"	"2019"	"2019"	92	98915	93.0091	74.9784	114.0674	9.6969	0.0086%
	"Limestone County, AL"	"01083"	"2020"	"2020"	99	102228	96.8424	78.7086	117.9017	9.7330	0.0092%
	"Limestone County, AL"	"01083"	"2021 "	"2021"	103	107517	95.7988	77.2977	114.2999	9.4393	0.0096%
	"Lowndes County, AL"	"01085"	"2018"	"2018"	13	9974	Unreliable	69.4002	222.8834	36.1495	0.0012%
	"Lowndes County, AL"	"01085"	"2019"	"2019"	10	9726	Unreliable	49.3050	189.0849	32.5137	0.0009%
	"Lowndes County, AL"	"01085"	"2020"	"2020"	11	9641	Unreliable	56.9567	204.1498	34.4013	0.0010%
	"Lowndes County, AL"	"01085"	"2021 "	"2021"	13	9965	Unreliable	69.4629	223.0847	36.1822	0.0012%
	"Macon County, AL"	"01087"	"2018"	"2018"	16	18439	Unreliable	49.5984	140.9135	21.6932	0.0015%
	"Macon County, AL"	"01087"	"2019"	"2019"	23	18068	127.2969	80.6948	191.0077	26.5432	0.0021%
	"Macon County, AL"	"01087"	"2020"	"2020"	12	17895	Unreliable	34.6495	117.1366	19.3579	0.0011%
	"Macon County, AL"	"01087"	"2021 "	"2021"	15	18895	Unreliable	44.4316	130.9354	20.4974	0.0014%
	"Madison County, AL"	"01089"	"2018"	"2018"	360	366519	98.2214	88.0750	108.3677	5.1767	0.0335%
	"Madison County, AL"	"01089"	"2019"	"2019"	329	372909	88.2253	78.6918	97.7588	4.8640	0.0306%
	"Madison County, AL"	"01089"	"2020"	"2020"	282	379453	74.3175	65.6434	82.9916	4.4255	0.0262%
	"Madison County, AL"	"01089"	"2021 "	"2021"	284	395211	71.8603	63.5027	80.2180	4.2641	0.0264%
	"Marengo County, AL"	"01091"	"2018"	"2018"	29	19066	152.1032	101.8666	218.4461	28.2449	0.0027%
	"Marengo County, AL"	"01091"	"2019"	"2019"	31	18863	164.3429	111.6628	233.2716	29.5169	0.0029%
	"Marengo County, AL"	"01091"	"2020"	"2020"	24	18733	128.1162	82.0866	190.6266	26.1516	0.0022%
	"Marengo County, AL"	"01091"	"2021 "	"2021"	15	18996	Unreliable	44.1954	130.2393	20.3884	0.0014%
	"Marion County, AL"	"01093"	"2018"	"2018"	59	29763	198.2327	150.9046	255.7063	25.8077	0.0055%
	"Marion County, AL"	"01093"	"2019"	"2019"	44	29709	148.1033	107.6118	198.8212	22.3274	0.0041%
	"Marion County, AL"	"01093"	"2020"	"2020"	71	29703	239.0331	186.6872	301.5068	28.3680	0.0066%
	"Marion County, AL"	"01093"	"2021 "	"2021"	62	29246	211.9948	162.5343	271.7667	26.9234	0.0058%
	"Marshall County, AL"	"01095"	"2018"	"2018"	179	96109	186.2469	158.9622	213.5315	13.9207	0.0167%
	"Marshall County, AL"	"01095"	"2019"	"2019"	161	96774	166.3670	140.6683	192.0656	13.1116	0.0150%
	"Marshall County, AL"	"01095"	"2020"	"2020"	152	96990	156.7172	131.8028	181.6316	12.7114	0.0141%
	"Marshall County, AL"	"01095"	"2021 "	"2021"	143	98228	145.5797	121.7187	169.4407	12.1740	0.0133%
	"Mobile County, AL"	"01097"	"2018"	"2018"	502	413757	121.3273	110.7137	131.9408	5.4151	0.0467%
	"Mobile County, AL"	"01097"	"2019"	"2019"	466	413210	112.7756	102.5361	123.0151	5.2242	0.0433%
	"Mobile County, AL"	"01097"	"2020"	"2020"	411	412716	99.5842	89.9564	109.2120	4.9121	0.0382%
	"Mobile County, AL"	"01097"	"2021 "	"2021"	437	413073	105.7924	95.8734	115.7115	5.0607	0.0407%
	"Monroe County, AL"	"01099"	"2018"	"2018"	27	21067	128.1625	84.4604	186.4701	24.6649	0.0025%
	"Monroe County, AL"	"01099"	"2019"	"2019"	21	20733	101.2878	62.6992	154.8295	22.1028	0.0020%
	"Monroe County, AL"	"01099"	"2020"	"2020"	28	20459	136.8591	90.9415	197.7997	25.8639	0.0026%
	"Monroe County, AL"	"01099"	"2021 "	"2021"	23	19648	117.0603	74.2057	175.6478	24.4088	0.0021%
	"Montgomery County, AL"	"01101"	"2018"	"2018"	188	225763	83.2732	71.3695	95.1769	6.0733	0.0175%
	"Montgomery County, AL"	"01101"	"2019"	"2019"	163	226486	71.9691	60.9205	83.0178	5.6371	0.0152%
	"Montgomery County, AL"	"01101"	"2020"	"2020"	224	224639	99.7155	86.6570	112.7741	6.6625	0.0208%
	"Montgomery County, AL"	"01101"	"2021 "	"2021"	195	227434	85.7392	73.7049	97.7734	6.1399	0.0181%
	"Morgan County, AL"	"01103"	"2018"	"2018"	165	119089	138.5518	117.4108	159.6929	10.7862	0.0153%
	"Morgan County, AL"	"01103"	"2019"	"2019"	164	119679	137.0332	116.0603	158.0062	10.7005	0.0153%
	"Morgan County, AL"	"01103"	"2020"	"2020"	187	119883	155.9854	133.6281	178.3427	11.4068	0.0174%
	"Morgan County, AL"	"01103"	"2021 "	"2021"	157	123668	126.9528	107.0942	146.8114	10.1319	0.0146%
	"Perry County, AL"	"01105"	"2019"	"2019"	13	8923	Unreliable	77.5746	249.1358	40.4074	0.0012%
	"Perry County, AL"	"01105"	"2020"	"2020"	14	8687	Unreliable	88.1080	270.3997	43.0719	0.0013%
	"Perry County, AL"	"01105"	"2021 "	"2021"	10	8355	Unreliable	57.3956	220.1125	37.8489	0.0009%
	"Pickens County, AL"	"01107"	"2018"	"2018"	26	19938	130.4043	85.1840	191.0722	25.5744	0.0024%
	"Pickens County, AL"	"01107"	"2019"	"2019"	46	19930	230.8078	168.9813	307.8653	34.0308	0.0043%
	"Pickens County, AL"	"01107"	"2020"	"2020"	38	19793	191.9871	135.8616	263.5176	31.1444	0.0035%
	"Pickens County, AL"	"01107"	"2021 "	"2021"	29	18801	154.2471	103.3024	221.5251	28.6430	0.0027%
	"Pike County, AL"	"01109"	"2018"	"2018"	36	33338	107.9849	75.6315	149.4964	17.9975	0.0033%
	"Pike County, AL"	"01109"	"2019"	"2019"	33	33114	99.6557	68.5980	139.9535	17.3478	0.0031%
	"Pike County, AL"	"01109"	"2020"	"2020"	33	32966	100.1031	68.9060	140.5818	17.4257	0.0031%
	"Pike County, AL"	"01109"	"2021 "	"2021"	28	32991	84.8716	56.3964	122.6633	16.0392	0.0026%
	"Randolph County, AL"	"01111"	"2018"	"2018"	27	22725	118.8119	78.2982	172.8653	22.8654	0.0025%
	"Randolph County, AL"	"01111"	"2019"	"2019"	31	22722	136.4317	92.6985	193.6538	24.5038	0.0029%
	"Randolph County, AL"	"01111"	"2020"	"2020"	29	22920	126.5271	84.7377	181.7144	23.4955	0.0027%
	"Randolph County, AL"	"01111"	"2021 "	"2021"	34	21989	154.6228	107.0809	216.0699	26.5176	0.0032%
	"Russell County, AL"	"01113"	"2018"	"2018"	76	57781	131.5311	103.6321	164.6309	15.0877	0.0071%
	"Russell County, AL"	"01113"	"2019"	"2019"	67	57961	115.5950	89.5849	146.8010	14.1222	0.0062%
	"Russell County, AL"	"01113"	"2020"	"2020"	64	58237	109.8958	84.6329	140.3347	13.7370	0.0060%
	"Russell County, AL"	"01113"	"2021 "	"2021"	64	58722	108.9881	83.9339	139.1756	13.6235	0.0060%
	"St. Clair County, AL"	"01115"	"2018"	"2018"	118	88690	133.0477	109.0415	157.0538	12.2480	0.0110%
	"St. Clair County, AL"	"01115"	"2019"	"2019"	136	89512	151.9349	126.3994	177.4704	13.0283	0.0127%
	"St. Clair County, AL"	"01115"	"2020"	"2020"	123	90739	135.5536	111.5976	159.5096	12.2225	0.0114%
	"St. Clair County, AL"	"01115"	"2021 "	"2021"	129	92748	139.0866	115.0846	163.0885	12.2459	0.0120%
	"Shelby County, AL"	"01117"	"2018"	"2018"	159	215707	73.7111	62.2536	85.1686	5.8457	0.0148%
	"Shelby County, AL"	"01117"	"2019"	"2019"	165	217702	75.7917	64.2269	87.3564	5.9004	0.0153%
	"Shelby County, AL"	"01117"	"2020"	"2020"	138	221428	62.3227	51.9244	72.7211	5.3053	0.0128%
	"Shelby County, AL"	"01117"	"2021 "	"2021"	154	226902	67.8707	57.1511	78.5903	5.4692	0.0143%
	"Sumter County, AL"	"01119"	"2018"	"2018"	14	12691	Unreliable	60.3100	185.0888	29.4828	0.0013%
	"Sumter County, AL"	"01119"	"2020"	"2020"	13	12225	Unreliable	56.6215	181.8437	29.4933	0.0012%
	"Sumter County, AL"	"01119"	"2021 "	"2021"	11	12164	Unreliable	45.1430	161.8060	27.2659	0.0010%
	"Talladega County, AL"	"01121"	"2018"	"2018"	132	79828	165.3555	137.1465	193.5645	14.3924	0.0123%
	"Talladega County, AL"	"01121"	"2019"	"2019"	115	79978	143.7895	117.5090	170.0701	13.4084	0.0107%
	"Talladega County, AL"	"01121"	"2020"	"2020"	121	79985	151.2784	124.3233	178.2334	13.7526	0.0113%
