Notes,County,County Code,Single Race 6,Single Race 6 Code,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error,% of Total Deaths,ID
,"Kenai Peninsula Borough, AK",2122.0,White,2106-3,21.0,196290.0,10.6985,6.6226,16.3538,2.3346,0.0150%,methane
,"Matanuska-Susitna Borough, AK",2170.0,White,2106-3,48.0,359505.0,13.3517,9.8445,17.7023,1.9272,0.0342%,methane
,"Apache County, AZ",4001.0,American Indian or Alaska Native,1002-5,17.0,210448.0,Unreliable,4.7058,12.9337,1.9592,0.0121%,methane
,"Cochise County, AZ",4003.0,White,2106-3,31.0,443225.0,6.9942,4.7522,9.9277,1.2562,0.0221%,methane
,"Coconino County, AZ",4005.0,American Indian or Alaska Native,1002-5,15.0,157618.0,Unreliable,5.3264,15.6963,2.4572,0.0107%,methane
,"Coconino County, AZ",4005.0,White,2106-3,25.0,376952.0,6.6321,4.292,9.7904,1.3264,0.0178%,methane
,"Gila County, AZ",4007.0,White,2106-3,30.0,168821.0,17.7703,11.9896,25.3682,3.2444,0.0214%,methane
,"Graham County, AZ",4009.0,White,2106-3,22.0,127000.0,17.3228,10.856,26.2269,3.6932,0.0157%,methane
,"Maricopa County, AZ",4013.0,American Indian or Alaska Native,1002-5,97.0,514638.0,18.8482,15.2846,22.9933,1.9137,0.0692%,methane
,"Maricopa County, AZ",4013.0,Asian,A,17.0,844965.0,Unreliable,1.172,3.2213,0.488,0.0121%,methane
,"Maricopa County, AZ",4013.0,Black or African American,2054-5,190.0,1162554.0,16.3433,14.0194,18.6672,1.1857,0.1356%,methane
,"Maricopa County, AZ",4013.0,White,2106-3,2022.0,14833101.0,13.6317,13.0375,14.2258,0.3032,1.4426%,methane
,"Maricopa County, AZ",4013.0,More than one race,M,91.0,563916.0,16.1372,12.9927,19.8129,1.6916,0.0649%,methane
,"Mohave County, AZ",4015.0,White,2106-3,76.0,783979.0,9.6941,7.6379,12.1337,1.112,0.0542%,methane
,"Navajo County, AZ",4017.0,American Indian or Alaska Native,1002-5,18.0,199786.0,Unreliable,5.3397,14.2391,2.1236,0.0128%,methane
,"Navajo County, AZ",4017.0,White,2106-3,37.0,223764.0,16.5353,11.6423,22.7917,2.7184,0.0264%,methane
,"Pima County, AZ",4019.0,American Indian or Alaska Native,1002-5,19.0,184035.0,Unreliable,6.2158,16.1224,2.3685,0.0136%,methane
,"Pima County, AZ",4019.0,Black or African American,2054-5,24.0,178881.0,13.4167,8.5964,19.963,2.7387,0.0171%,methane
,"Pima County, AZ",4019.0,White,2106-3,412.0,3554653.0,11.5904,10.4712,12.7096,0.571,0.2939%,methane
,"Pinal County, AZ",4021.0,White,2106-3,114.0,1517481.0,7.5124,6.1334,8.8915,0.7036,0.0813%,methane
,"Santa Cruz County, AZ",4023.0,White,2106-3,16.0,179263.0,Unreliable,5.1017,14.4944,2.2314,0.0114%,methane
,"Yavapai County, AZ",4025.0,White,2106-3,110.0,884838.0,12.4317,10.1084,14.7549,1.1853,0.0785%,methane
,"Yuma County, AZ",4027.0,White,2106-3,140.0,774931.0,18.0661,15.0735,21.0588,1.5269,0.0999%,methane
,"Baxter County, AR",5005.0,White,2106-3,11.0,161938.0,Unreliable,3.3909,12.1541,2.0481,0.0078%,methane
,"Benton County, AR",5007.0,White,2106-3,98.0,999815.0,9.8018,7.9576,11.9453,0.9901,0.0699%,methane
,"Boone County, AR",5009.0,White,2106-3,17.0,144094.0,Unreliable,6.8727,18.8895,2.8614,0.0121%,methane
,"Carroll County, AR",5015.0,White,2106-3,16.0,104244.0,Unreliable,8.7731,24.9252,3.8372,0.0114%,methane
,"Craighead County, AR",5031.0,White,2106-3,20.0,351360.0,5.6922,3.4769,8.7911,1.2728,0.0143%,methane
,"Crawford County, AR",5033.0,White,2106-3,29.0,226914.0,12.7802,8.5591,18.3545,2.3732,0.0207%,methane
,"Crittenden County, AR",5035.0,White,2106-3,13.0,81652.0,Unreliable,8.4774,27.2258,4.4158,0.0093%,methane
,"Faulkner County, AR",5045.0,White,2106-3,39.0,419107.0,9.3055,6.6171,12.7209,1.4901,0.0278%,methane
,"Garland County, AR",5051.0,White,2106-3,43.0,346432.0,12.4122,8.9827,16.7192,1.8929,0.0307%,methane
,"Greene County, AR",5055.0,White,2106-3,14.0,173599.0,Unreliable,4.409,13.531,2.1553,0.0100%,methane
,"Jefferson County, AR",5069.0,Black or African American,2054-5,13.0,152788.0,Unreliable,4.5304,14.5498,2.3598,0.0093%,methane
,"Jefferson County, AR",5069.0,White,2106-3,13.0,105785.0,Unreliable,6.5434,21.0147,3.4084,0.0093%,methane
,"Johnson County, AR",5071.0,White,2106-3,10.0,96445.0,Unreliable,4.9722,19.0683,3.2788,0.0071%,methane
,"Logan County, AR",5083.0,White,2106-3,11.0,79950.0,Unreliable,6.8683,24.618,4.1484,0.0078%,methane
,"Lonoke County, AR",5085.0,White,2106-3,29.0,264943.0,10.9458,7.3306,15.72,2.0326,0.0207%,methane
,"Miller County, AR",5091.0,White,2106-3,12.0,122366.0,Unreliable,5.0672,17.1302,2.8309,0.0086%,methane
,"Mississippi County, AR",5093.0,White,2106-3,21.0,99613.0,21.0816,13.0499,32.2255,4.6004,0.0150%,methane
,"Poinsett County, AR",5111.0,White,2106-3,16.0,83083.0,Unreliable,11.0076,31.2736,4.8145,0.0114%,methane
,"Pope County, AR",5115.0,White,2106-3,11.0,235748.0,Unreliable,2.3293,8.3488,1.4069,0.0078%,methane
,"Pulaski County, AR",5119.0,Black or African American,2054-5,42.0,598613.0,7.0162,5.0567,9.4839,1.0826,0.0300%,methane
,"Pulaski County, AR",5119.0,White,2106-3,145.0,896717.0,16.1701,13.5381,18.8021,1.3429,0.1035%,methane
,"Saline County, AR",5125.0,White,2106-3,55.0,432222.0,12.7249,9.5862,16.5633,1.7158,0.0392%,methane
,"Sebastian County, AR",5131.0,White,2106-3,48.0,418199.0,11.4778,8.4628,15.2178,1.6567,0.0342%,methane
,"Union County, AR",5139.0,White,2106-3,19.0,98683.0,Unreliable,11.592,30.0668,4.4171,0.0136%,methane
,"Washington County, AR",5143.0,White,2106-3,30.0,835277.0,3.5916,2.4233,5.1273,0.6557,0.0214%,methane
,"White County, AR",5145.0,White,2106-3,25.0,287290.0,8.7020,5.6315,12.8459,1.7404,0.0178%,methane
,"Alameda County, CA",6001.0,Asian,A,33.0,2178787.0,1.5146,1.0426,2.1271,0.2637,0.0235%,methane
,"Alameda County, CA",6001.0,Black or African American,2054-5,152.0,726618.0,20.9188,17.5932,24.2444,1.6967,0.1084%,methane
,"Alameda County, CA",6001.0,White,2106-3,351.0,3245096.0,10.8163,9.6847,11.9479,0.5773,0.2504%,methane
,"Alameda County, CA",6001.0,More than one race,M,22.0,363021.0,6.0603,3.7979,9.1753,1.2921,0.0157%,methane
,"Amador County, CA",6005.0,White,2106-3,15.0,143500.0,Unreliable,5.8504,17.2406,2.6989,0.0107%,methane
,"Butte County, CA",6007.0,White,2106-3,85.0,744143.0,11.4225,9.1239,14.1242,1.2389,0.0606%,methane
,"Contra Costa County, CA",6013.0,Asian,A,18.0,860092.0,Unreliable,1.2403,3.3075,0.4933,0.0128%,methane
,"Contra Costa County, CA",6013.0,Black or African American,2054-5,78.0,440287.0,17.7157,14.0036,22.1101,2.0059,0.0556%,methane
,"Contra Costa County, CA",6013.0,White,2106-3,311.0,2984217.0,10.4215,9.2632,11.5798,0.5909,0.2219%,methane
,"Contra Costa County, CA",6013.0,More than one race,M,20.0,256253.0,7.8048,4.7674,12.0539,1.7452,0.0143%,methane
,"Del Norte County, CA",6015.0,White,2106-3,15.0,87094.0,Unreliable,9.6394,28.4064,4.4469,0.0107%,methane
,"El Dorado County, CA",6017.0,White,2106-3,86.0,680054.0,12.6461,10.1152,15.6178,1.3637,0.0614%,methane
,"Fresno County, CA",6019.0,Black or African American,2054-5,13.0,234471.0,Unreliable,2.9522,9.4811,1.5377,0.0093%,methane
,"Fresno County, CA",6019.0,White,2106-3,114.0,3054095.0,3.7327,3.0475,4.4179,0.3496,0.0813%,methane
,"Glenn County, CA",6021.0,White,2106-3,11.0,101043.0,Unreliable,5.4345,19.4789,3.2824,0.0078%,methane
,"Humboldt County, CA",6023.0,American Indian or Alaska Native,1002-5,10.0,34655.0,Unreliable,13.8375,53.0671,9.125,0.0071%,methane
,"Humboldt County, CA",6023.0,White,2106-3,47.0,451098.0,10.4190,7.6555,13.8551,1.5198,0.0335%,methane
,"Imperial County, CA",6025.0,White,2106-3,66.0,651409.0,10.1319,7.836,12.8903,1.2471,0.0471%,methane
,"Inyo County, CA",6027.0,White,2106-3,14.0,58146.0,Unreliable,13.1633,40.3977,6.4349,0.0100%,methane
,"Kern County, CA",6029.0,Black or African American,2054-5,36.0,227299.0,15.8382,11.0929,21.9267,2.6397,0.0257%,methane
,"Kern County, CA",6029.0,White,2106-3,443.0,2965301.0,14.9395,13.5483,16.3307,0.7098,0.3161%,methane
,"Kern County, CA",6029.0,More than one race,M,17.0,117703.0,Unreliable,8.4137,23.1249,3.503,0.0121%,methane
,"Kings County, CA",6031.0,White,2106-3,29.0,493350.0,5.8782,3.9367,8.4421,1.0916,0.0207%,methane
,"Lake County, CA",6033.0,White,2106-3,80.0,227455.0,35.1718,27.8891,43.7745,3.9323,0.0571%,methane
,"Lassen County, CA",6035.0,White,2106-3,19.0,100818.0,Unreliable,11.3465,29.43,4.3235,0.0136%,methane
,"Los Angeles County, CA",6037.0,American Indian or Alaska Native,1002-5,22.0,582287.0,3.7782,2.3678,5.7202,0.8055,0.0157%,methane
,"Los Angeles County, CA",6037.0,Asian,A,83.0,6193489.0,1.3401,1.0674,1.6613,0.1471,0.0592%,methane
,"Los Angeles County, CA",6037.0,Black or African American,2054-5,414.0,3582257.0,11.5570,10.4437,12.6702,0.568,0.2954%,methane
,"Los Angeles County, CA",6037.0,White,2106-3,2080.0,28132156.0,7.3937,7.0759,7.7114,0.1621,1.4840%,methane
,"Los Angeles County, CA",6037.0,More than one race,M,69.0,1280489.0,5.3886,4.1926,6.8196,0.6487,0.0492%,methane
,"Madera County, CA",6039.0,White,2106-3,36.0,542050.0,6.6415,4.6516,9.1946,1.1069,0.0257%,methane
,"Marin County, CA",6041.0,White,2106-3,77.0,881561.0,8.7345,6.8931,10.9166,0.9954,0.0549%,methane
,"Mendocino County, CA",6045.0,White,2106-3,80.0,302184.0,26.4739,20.9922,32.9492,2.9599,0.0571%,methane
,"Merced County, CA",6047.0,White,2106-3,72.0,915263.0,7.8666,6.1551,9.9066,0.9271,0.0514%,methane
,"Monterey County, CA",6053.0,White,2106-3,155.0,1436436.0,10.7906,9.0918,12.4894,0.8667,0.1106%,methane
,"Napa County, CA",6055.0,White,2106-3,34.0,458501.0,7.4155,5.1354,10.3624,1.2717,0.0243%,methane
,"Nevada County, CA",6057.0,White,2106-3,31.0,374861.0,8.2697,5.6189,11.7382,1.4853,0.0221%,methane
,"Orange County, CA",6059.0,Asian,A,67.0,2804536.0,2.3890,1.8514,3.0339,0.2919,0.0478%,methane
,"Orange County, CA",6059.0,Black or African American,2054-5,40.0,275379.0,14.5254,10.3771,19.7796,2.2967,0.0285%,methane
,"Orange County, CA",6059.0,White,2106-3,1214.0,8968003.0,13.5370,12.7755,14.2985,0.3885,0.8661%,methane
,"Orange County, CA",6059.0,More than one race,M,26.0,467129.0,5.5659,3.6358,8.1553,1.0916,0.0185%,methane
,"Placer County, CA",6061.0,White,2106-3,89.0,1341059.0,6.6365,5.3297,8.1669,0.7035,0.0635%,methane
,"Plumas County, CA",6063.0,White,2106-3,12.0,69235.0,Unreliable,8.9558,30.276,5.0034,0.0086%,methane
,"Riverside County, CA",6065.0,Asian,A,12.0,719086.0,Unreliable,0.8623,2.915,0.4817,0.0086%,methane
,"Riverside County, CA",6065.0,Black or African American,2054-5,67.0,723828.0,9.2563,7.1736,11.7552,1.1308,0.0478%,methane
,"Riverside County, CA",6065.0,White,2106-3,727.0,7821786.0,9.2946,8.6189,9.9702,0.3447,0.5187%,methane
,"Riverside County, CA",6065.0,More than one race,M,33.0,365189.0,9.0364,6.2202,12.6905,1.573,0.0235%,methane
,"Sacramento County, CA",6067.0,Asian,A,17.0,1079756.0,Unreliable,0.9172,2.5208,0.3819,0.0121%,methane
,"Sacramento County, CA",6067.0,Black or African American,2054-5,72.0,677531.0,10.6268,8.3148,13.3827,1.2524,0.0514%,methane
,"Sacramento County, CA",6067.0,White,2106-3,375.0,3885810.0,9.6505,8.6737,10.6273,0.4983,0.2675%,methane
,"Sacramento County, CA",6067.0,More than one race,M,22.0,418777.0,5.2534,3.2922,7.9537,1.12,0.0157%,methane
,"San Benito County, CA",6069.0,White,2106-3,18.0,221558.0,Unreliable,4.8149,12.8399,1.9149,0.0128%,methane
,"San Bernardino County, CA",6071.0,Asian,A,10.0,712294.0,Unreliable,0.6732,2.5819,0.444,0.0071%,methane
,"San Bernardino County, CA",6071.0,Black or African American,2054-5,51.0,822063.0,6.2039,4.6192,8.157,0.8687,0.0364%,methane
,"San Bernardino County, CA",6071.0,White,2106-3,474.0,6655310.0,7.1221,6.481,7.7633,0.3271,0.3382%,methane
,"San Bernardino County, CA",6071.0,More than one race,M,13.0,318287.0,Unreliable,2.1748,6.9844,1.1328,0.0093%,methane
,"San Diego County, CA",6073.0,American Indian or Alaska Native,1002-5,17.0,177229.0,Unreliable,5.5878,15.3579,2.3264,0.0121%,methane
,"San Diego County, CA",6073.0,Asian,A,21.0,1692489.0,1.2408,0.7681,1.8967,0.2708,0.0150%,methane
,"San Diego County, CA",6073.0,Black or African American,2054-5,99.0,737280.0,13.4277,10.9134,16.3477,1.3495,0.0706%,methane
,"San Diego County, CA",6073.0,White,2106-3,1047.0,9987110.0,10.4835,9.8485,11.1185,0.324,0.7470%,methane
,"San Diego County, CA",6073.0,More than one race,M,56.0,627162.0,8.9291,6.745,11.5952,1.1932,0.0400%,methane
,"San Francisco County, CA",6075.0,American Indian or Alaska Native,1002-5,14.0,25579.0,Unreliable,29.9227,91.8317,14.6278,0.0100%,methane
,"San Francisco County, CA",6075.0,Asian,A,56.0,1254242.0,4.4648,3.3727,5.798,0.5966,0.0400%,methane
,"San Francisco County, CA",6075.0,Black or African American,2054-5,181.0,192432.0,94.0592,80.3561,107.7623,6.9914,0.1291%,methane
,"San Francisco County, CA",6075.0,White,2106-3,606.0,1800068.0,33.6654,30.985,36.3458,1.3676,0.4324%,methane
,"San Francisco County, CA",6075.0,More than one race,M,31.0,158535.0,19.5540,13.286,27.7554,3.512,0.0221%,methane
,"San Joaquin County, CA",6077.0,Black or African American,2054-5,30.0,255651.0,11.7347,7.9174,16.7521,2.1425,0.0214%,methane
,"San Joaquin County, CA",6077.0,White,2106-3,159.0,2013159.0,7.8980,6.6704,9.1257,0.6264,0.1134%,methane
,"San Luis Obispo County, CA",6079.0,White,2106-3,141.0,1004013.0,14.0436,11.7256,16.3617,1.1827,0.1006%,methane
,"San Luis Obispo County, CA",6079.0,More than one race,M,10.0,41110.0,Unreliable,11.6648,44.7346,7.6922,0.0071%,methane
,"San Mateo County, CA",6081.0,Black or African American,2054-5,11.0,83581.0,Unreliable,6.5699,23.5485,3.9682,0.0078%,methane
,"San Mateo County, CA",6081.0,White,2106-3,141.0,1789755.0,7.8782,6.5778,9.1786,0.6635,0.1006%,methane
,"Santa Barbara County, CA",6083.0,Black or African American,2054-5,10.0,43305.0,Unreliable,11.0735,42.4672,7.3023,0.0071%,methane
,"Santa Barbara County, CA",6083.0,White,2106-3,180.0,1520661.0,11.8370,10.1077,13.5662,0.8823,0.1284%,methane
,"Santa Clara County, CA",6085.0,Asian,A,29.0,3023509.0,0.9592,0.6424,1.3775,0.1781,0.0207%,methane
,"Santa Clara County, CA",6085.0,Black or African American,2054-5,29.0,218173.0,13.2922,8.9021,19.0899,2.4683,0.0207%,methane
,"Santa Clara County, CA",6085.0,White,2106-3,296.0,3964108.0,7.4670,6.6163,8.3177,0.434,0.2112%,methane
,"Santa Clara County, CA",6085.0,More than one race,M,11.0,323604.0,Unreliable,1.6969,6.0821,1.0249,0.0078%,methane
,"Santa Cruz County, CA",6087.0,White,2106-3,111.0,942666.0,11.7751,9.5845,13.9657,1.1176,0.0792%,methane
,"Shasta County, CA",6089.0,White,2106-3,56.0,630422.0,8.8829,6.7101,11.5352,1.187,0.0400%,methane
,"Siskiyou County, CA",6093.0,White,2106-3,16.0,149642.0,Unreliable,6.1115,17.3635,2.673,0.0114%,methane
,"Solano County, CA",6095.0,Black or African American,2054-5,28.0,265014.0,10.5655,7.0207,15.2701,1.9967,0.0200%,methane
,"Solano County, CA",6095.0,White,2106-3,95.0,1062086.0,8.9447,7.2368,10.9344,0.9177,0.0678%,methane
,"Sonoma County, CA",6097.0,White,2106-3,226.0,1704243.0,13.2610,11.5321,14.99,0.8821,0.1612%,methane
,"Sonoma County, CA",6097.0,More than one race,M,13.0,80964.0,Unreliable,8.5495,27.4571,4.4533,0.0093%,methane
,"Stanislaus County, CA",6099.0,Black or African American,2054-5,20.0,78525.0,25.4696,15.5576,39.3358,5.6952,0.0143%,methane
,"Stanislaus County, CA",6099.0,White,2106-3,203.0,1828231.0,11.1036,9.5762,12.6311,0.7793,0.1448%,methane
,"Sutter County, CA",6101.0,White,2106-3,34.0,281513.0,12.0776,8.3641,16.8772,2.0713,0.0243%,methane
,"Tehama County, CA",6103.0,White,2106-3,13.0,233366.0,Unreliable,2.9661,9.526,1.545,0.0093%,methane
,"Tulare County, CA",6107.0,White,2106-3,81.0,1651942.0,4.9033,3.8939,6.0944,0.5448,0.0578%,methane
,"Tuolumne County, CA",6109.0,White,2106-3,16.0,197694.0,Unreliable,4.6261,13.1431,2.0233,0.0114%,methane
,"Ventura County, CA",6111.0,White,2106-3,344.0,2833019.0,12.1425,10.8593,13.4257,0.6547,0.2454%,methane
,"Yolo County, CA",6113.0,White,2106-3,31.0,646791.0,4.7929,3.2565,6.8031,0.8608,0.0221%,methane
,"Yuba County, CA",6115.0,White,2106-3,20.0,249188.0,8.0261,4.9026,12.3956,1.7947,0.0143%,methane
,"Adams County, CO",8001.0,Black or African American,2054-5,22.0,84133.0,26.1491,16.3874,39.59,5.575,0.0157%,methane
,"Adams County, CO",8001.0,White,2106-3,191.0,1772475.0,10.7759,9.2476,12.3041,0.7797,0.1363%,methane
,"Arapahoe County, CO",8005.0,Black or African American,2054-5,23.0,302849.0,7.5945,4.8143,11.3955,1.5836,0.0164%,methane
,"Arapahoe County, CO",8005.0,White,2106-3,209.0,1997781.0,10.4616,9.0433,11.88,0.7236,0.1491%,methane
,"Boulder County, CO",8013.0,White,2106-3,76.0,1178381.0,6.4495,5.0815,8.0726,0.7398,0.0542%,methane
,"Broomfield County, CO",8014.0,White,2106-3,11.0,251484.0,Unreliable,2.1835,7.8264,1.3188,0.0078%,methane
,"Delta County, CO",8029.0,White,2106-3,21.0,118265.0,17.7567,10.9918,27.1431,3.8748,0.0150%,methane
,"Denver County, CO",8031.0,American Indian or Alaska Native,1002-5,11.0,51294.0,Unreliable,10.7053,38.3711,6.4659,0.0078%,methane
,"Denver County, CO",8031.0,Asian,A,10.0,118106.0,Unreliable,4.0603,15.5711,2.6775,0.0071%,methane
,"Denver County, CO",8031.0,Black or African American,2054-5,48.0,283435.0,16.9351,12.4866,22.4534,2.4444,0.0342%,methane
,"Denver County, CO",8031.0,White,2106-3,356.0,2334455.0,15.2498,13.6657,16.834,0.8082,0.2540%,methane
,"Douglas County, CO",8035.0,White,2106-3,80.0,1271316.0,6.2927,4.9897,7.8318,0.7035,0.0571%,methane
,"Eagle County, CO",8037.0,White,2106-3,11.0,208018.0,Unreliable,2.6398,9.4617,1.5944,0.0078%,methane
,"El Paso County, CO",8041.0,Black or African American,2054-5,24.0,199314.0,12.0413,7.7151,17.9165,2.4579,0.0171%,methane
,"El Paso County, CO",8041.0,White,2106-3,372.0,2411369.0,15.4269,13.8592,16.9946,0.7998,0.2654%,methane
,"Fremont County, CO",8043.0,White,2106-3,21.0,176315.0,11.9105,7.3728,18.2065,2.5991,0.0150%,methane
,"Garfield County, CO",8045.0,White,2106-3,25.0,227438.0,10.9920,7.1135,16.2264,2.1984,0.0178%,methane
,"Jefferson County, CO",8059.0,White,2106-3,240.0,2126057.0,11.2885,9.8603,12.7167,0.7287,0.1712%,methane
,"La Plata County, CO",8067.0,White,2106-3,10.0,198629.0,Unreliable,2.4142,9.2587,1.5921,0.0071%,methane
,"Larimer County, CO",8069.0,White,2106-3,69.0,1322456.0,5.2176,4.0596,6.6031,0.6281,0.0492%,methane
,"Las Animas County, CO",8071.0,White,2106-3,13.0,52175.0,Unreliable,13.2669,42.6074,6.9105,0.0093%,methane
,"Mesa County, CO",8077.0,White,2106-3,67.0,582116.0,11.5097,8.9199,14.6169,1.4061,0.0478%,methane
,"Moffat County, CO",8081.0,White,2106-3,11.0,49834.0,Unreliable,11.019,39.4953,6.6553,0.0078%,methane
,"Montrose County, CO",8085.0,White,2106-3,16.0,161511.0,Unreliable,5.6624,16.0875,2.4766,0.0114%,methane
,"Otero County, CO",8089.0,White,2106-3,12.0,66156.0,Unreliable,9.3726,31.6851,5.2363,0.0086%,methane
,"Pueblo County, CO",8101.0,White,2106-3,95.0,606047.0,15.6754,12.6823,19.1623,1.6083,0.0678%,methane
,"Weld County, CO",8123.0,White,2106-3,51.0,1211186.0,4.2107,3.1352,5.5364,0.5896,0.0364%,methane
,"Fairfield County, CT",9001.0,Black or African American,2054-5,71.0,494632.0,14.3541,11.2107,18.1057,1.7035,0.0507%,methane
,"Fairfield County, CT",9001.0,White,2106-3,362.0,2960889.0,12.2261,10.9666,13.4855,0.6426,0.2583%,methane
,"Hartford County, CT",9003.0,Black or African American,2054-5,89.0,571783.0,15.5653,12.5002,19.1546,1.6499,0.0635%,methane
,"Hartford County, CT",9003.0,White,2106-3,628.0,2658936.0,23.6185,21.7712,25.4657,0.9425,0.4481%,methane
