GEOID,month,year,Notes,County,Year,Month,Month Code,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,ID,mean_ch4
10001,09,2020,NA,"Kent County, DE",2020,Sep.,2020/09,14,Not Applicable,Not Applicable,Not Applicable,Not Applicable,respiratory,1872.033984375
10001,09,2021,NA,"Kent County, DE",2021,Sep.,2021/09,22,Not Applicable,Not Applicable,Not Applicable,Not Applicable,respiratory,1879.3820068359375
10001,10,2020,NA,"Kent County, DE",2020,Oct.,2020/10,17,Not Applicable,Not Applicable,Not Applicable,Not Applicable,respiratory,1896.2774963378906
10001,10,2021,NA,"Kent County, DE",2021,Oct.,2021/10,21,Not Applicable,Not Applicable,Not Applicable,Not Applicable,respiratory,1880.3699951171875
10001,11,2020,NA,"Kent County, DE",2020,Nov.,2020/11,11,Not Applicable,Not Applicable,Not Applicable,Not Applicable,respiratory,1919.4599609375
10001,11,2020,NA,"Kent County, DE",2020,Nov.,2020/11,11,Not Applicable,Not Applicable,Not Applicable,Not Applicable,mh,1919.4599609375
10001,11,2021,NA,"Kent County, DE",2021,Nov.,2021/11,13,Not Applicable,Not Applicable,Not Applicable,Not Applicable,respiratory,1889.7900390625
10001,11,2021,NA,"Kent County, DE",2021,Nov.,2021/11,12,Not Applicable,Not Applicable,Not Applicable,Not Applicable,mh,1889.7900390625
10001,12,2018,NA,"Kent County, DE",2018,Dec.,2018/12,14,Not Applicable,Not Applicable,Not Applicable,Not Applicable,mh,1860.97998046875
10001,12,2020,NA,"Kent County, DE",2020,Dec.,2020/12,14,Not Applicable,Not Applicable,Not Applicable,Not Applicable,respiratory,1886.969970703125
10001,12,2021,NA,"Kent County, DE",2021,Dec.,2021/12,12,Not Applicable,Not Applicable,Not Applicable,Not Applicable,mh,1878.8266194661458
10001,12,2021,NA,"Kent County, DE",2021,Dec.,2021/12,20,Not Applicable,Not Applicable,Not Applicable,Not Applicable,respiratory,1878.8266194661458
10003,01,2019,NA,"New Castle County, DE",2019,Jan.,2019/01,40,Not Applicable,Not Applicable,Not Applicable,Not Applicable,mh,1871.1800537109375
10003,01,2019,NA,"New Castle County, DE",2019,Jan.,2019/01,45,Not Applicable,Not Applicable,Not Applicable,Not Applicable,respiratory,1871.1800537109375
10003,03,2021,NA,"New Castle County, DE",2021,Mar.,2021/03,29,Not Applicable,Not Applicable,Not Applicable,Not Applicable,respiratory,1896.1700439453125
10003,03,2021,NA,"New Castle County, DE",2021,Mar.,2021/03,31,Not Applicable,Not Applicable,Not Applicable,Not Applicable,mh,1896.1700439453125
10003,04,2019,NA,"New Castle County, DE",2019,Apr.,2019/04,27,Not Applicable,Not Applicable,Not Applicable,Not Applicable,respiratory,1854.699951171875
10003,04,2019,NA,"New Castle County, DE",2019,Apr.,2019/04,32,Not Applicable,Not Applicable,Not Applicable,Not Applicable,mh,1854.699951171875
10003,05,2018,NA,"New Castle County, DE",2018,May,2018/05,35,Not Applicable,Not Applicable,Not Applicable,Not Applicable,mh,1862.6949768066406
10003,05,2019,NA,"New Castle County, DE",2019,May,2019/05,27,Not Applicable,Not Applicable,Not Applicable,Not Applicable,mh,1869.81005859375
10003,05,2019,NA,"New Castle County, DE",2019,May,2019/05,31,Not Applicable,Not Applicable,Not Applicable,Not Applicable,respiratory,1869.81005859375
10003,05,2020,NA,"New Castle County, DE",2020,May,2020/05,32,Not Applicable,Not Applicable,Not Applicable,Not Applicable,respiratory,1905.050048828125
10003,05,2020,NA,"New Castle County, DE",2020,May,2020/05,43,Not Applicable,Not Applicable,Not Applicable,Not Applicable,mh,1905.050048828125
10003,05,2021,NA,"New Castle County, DE",2021,May,2021/05,18,Not Applicable,Not Applicable,Not Applicable,Not Applicable,mh,1910.260009765625
10003,05,2021,NA,"New Castle County, DE",2021,May,2021/05,36,Not Applicable,Not Applicable,Not Applicable,Not Applicable,respiratory,1910.260009765625
10003,06,2018,NA,"New Castle County, DE",2018,Jun.,2018/06,38,Not Applicable,Not Applicable,Not Applicable,Not Applicable,mh,1870.061264038086
10003,06,2019,NA,"New Castle County, DE",2019,Jun.,2019/06,26,Not Applicable,Not Applicable,Not Applicable,Not Applicable,mh,1876.5249633789062
10003,06,2019,NA,"New Castle County, DE",2019,Jun.,2019/06,36,Not Applicable,Not Applicable,Not Applicable,Not Applicable,respiratory,1876.5249633789062
10003,06,2020,NA,"New Castle County, DE",2020,Jun.,2020/06,33,Not Applicable,Not Applicable,Not Applicable,Not Applicable,mh,1904.3699951171875
10003,06,2020,NA,"New Castle County, DE",2020,Jun.,2020/06,24,Not Applicable,Not Applicable,Not Applicable,Not Applicable,respiratory,1904.3699951171875
10003,06,2021,NA,"New Castle County, DE",2021,Jun.,2021/06,28,Not Applicable,Not Applicable,Not Applicable,Not Applicable,respiratory,1908.6116739908855
10003,06,2021,NA,"New Castle County, DE",2021,Jun.,2021/06,26,Not Applicable,Not Applicable,Not Applicable,Not Applicable,mh,1908.6116739908855
10003,07,2018,NA,"New Castle County, DE",2018,Jul.,2018/07,30,Not Applicable,Not Applicable,Not Applicable,Not Applicable,mh,1888.927490234375
10003,07,2019,NA,"New Castle County, DE",2019,Jul.,2019/07,40,Not Applicable,Not Applicable,Not Applicable,Not Applicable,respiratory,1894.6566569010417
10003,07,2019,NA,"New Castle County, DE",2019,Jul.,2019/07,35,Not Applicable,Not Applicable,Not Applicable,Not Applicable,mh,1894.6566569010417
10003,07,2020,NA,"New Castle County, DE",2020,Jul.,2020/07,26,Not Applicable,Not Applicable,Not Applicable,Not Applicable,respiratory,1895.4100341796875
10003,07,2020,NA,"New Castle County, DE",2020,Jul.,2020/07,44,Not Applicable,Not Applicable,Not Applicable,Not Applicable,mh,1895.4100341796875
10003,07,2021,NA,"New Castle County, DE",2021,Jul.,2021/07,31,Not Applicable,Not Applicable,Not Applicable,Not Applicable,mh,1903.2766723632812
10003,07,2021,NA,"New Castle County, DE",2021,Jul.,2021/07,23,Not Applicable,Not Applicable,Not Applicable,Not Applicable,respiratory,1903.2766723632812
10003,08,2018,NA,"New Castle County, DE",2018,Aug.,2018/08,27,Not Applicable,Not Applicable,Not Applicable,Not Applicable,mh,1874.4099934895833
10003,08,2019,NA,"New Castle County, DE",2019,Aug.,2019/08,30,Not Applicable,Not Applicable,Not Applicable,Not Applicable,mh,1901.9949951171875
10003,08,2019,NA,"New Castle County, DE",2019,Aug.,2019/08,31,Not Applicable,Not Applicable,Not Applicable,Not Applicable,respiratory,1901.9949951171875
10003,08,2020,NA,"New Castle County, DE",2020,Aug.,2020/08,25,Not Applicable,Not Applicable,Not Applicable,Not Applicable,respiratory,1855.6400146484375
10003,08,2020,NA,"New Castle County, DE",2020,Aug.,2020/08,25,Not Applicable,Not Applicable,Not Applicable,Not Applicable,mh,1855.6400146484375
10003,08,2021,NA,"New Castle County, DE",2021,Aug.,2021/08,30,Not Applicable,Not Applicable,Not Applicable,Not Applicable,respiratory,1928.4299926757812
10003,08,2021,NA,"New Castle County, DE",2021,Aug.,2021/08,27,Not Applicable,Not Applicable,Not Applicable,Not Applicable,mh,1928.4299926757812
10003,09,2018,NA,"New Castle County, DE",2018,Sep.,2018/09,22,Not Applicable,Not Applicable,Not Applicable,Not Applicable,mh,1869.1600341796875
10003,09,2019,NA,"New Castle County, DE",2019,Sep.,2019/09,35,Not Applicable,Not Applicable,Not Applicable,Not Applicable,mh,1888.5899658203125
10003,09,2019,NA,"New Castle County, DE",2019,Sep.,2019/09,31,Not Applicable,Not Applicable,Not Applicable,Not Applicable,respiratory,1888.5899658203125
10003,09,2020,NA,"New Castle County, DE",2020,Sep.,2020/09,30,Not Applicable,Not Applicable,Not Applicable,Not Applicable,mh,1871.3666585286458
10003,09,2020,NA,"New Castle County, DE",2020,Sep.,2020/09,28,Not Applicable,Not Applicable,Not Applicable,Not Applicable,respiratory,1871.3666585286458
10003,09,2021,NA,"New Castle County, DE",2021,Sep.,2021/09,36,Not Applicable,Not Applicable,Not Applicable,Not Applicable,respiratory,1899.8699951171875
10003,09,2021,NA,"New Castle County, DE",2021,Sep.,2021/09,24,Not Applicable,Not Applicable,Not Applicable,Not Applicable,mh,1899.8699951171875
10003,10,2018,NA,"New Castle County, DE",2018,Oct.,2018/10,22,Not Applicable,Not Applicable,Not Applicable,Not Applicable,mh,1866.683349609375
10003,10,2018,NA,"New Castle County, DE",2018,Oct.,2018/10,10,Not Applicable,Not Applicable,Not Applicable,Not Applicable,methane,1866.683349609375
10003,10,2019,NA,"New Castle County, DE",2019,Oct.,2019/10,25,Not Applicable,Not Applicable,Not Applicable,Not Applicable,respiratory,1863.4566650390625
10003,10,2019,NA,"New Castle County, DE",2019,Oct.,2019/10,22,Not Applicable,Not Applicable,Not Applicable,Not Applicable,mh,1863.4566650390625
10003,10,2020,NA,"New Castle County, DE",2020,Oct.,2020/10,27,Not Applicable,Not Applicable,Not Applicable,Not Applicable,mh,1886.8466796875
10003,10,2020,NA,"New Castle County, DE",2020,Oct.,2020/10,32,Not Applicable,Not Applicable,Not Applicable,Not Applicable,respiratory,1886.8466796875
10003,10,2021,NA,"New Castle County, DE",2021,Oct.,2021/10,10,Not Applicable,Not Applicable,Not Applicable,Not Applicable,methane,1900.77001953125
10003,10,2021,NA,"New Castle County, DE",2021,Oct.,2021/10,34,Not Applicable,Not Applicable,Not Applicable,Not Applicable,respiratory,1900.77001953125
10003,10,2021,NA,"New Castle County, DE",2021,Oct.,2021/10,18,Not Applicable,Not Applicable,Not Applicable,Not Applicable,mh,1900.77001953125
10003,11,2018,NA,"New Castle County, DE",2018,Nov.,2018/11,33,Not Applicable,Not Applicable,Not Applicable,Not Applicable,mh,1871.739990234375
10003,12,2019,NA,"New Castle County, DE",2019,Dec.,2019/12,30,Not Applicable,Not Applicable,Not Applicable,Not Applicable,mh,1884.22998046875
10003,12,2019,NA,"New Castle County, DE",2019,Dec.,2019/12,11,Not Applicable,Not Applicable,Not Applicable,Not Applicable,methane,1884.22998046875
10003,12,2019,NA,"New Castle County, DE",2019,Dec.,2019/12,43,Not Applicable,Not Applicable,Not Applicable,Not Applicable,respiratory,1884.22998046875
10003,12,2020,NA,"New Castle County, DE",2020,Dec.,2020/12,42,Not Applicable,Not Applicable,Not Applicable,Not Applicable,mh,1885.6050415039062
10003,12,2020,NA,"New Castle County, DE",2020,Dec.,2020/12,48,Not Applicable,Not Applicable,Not Applicable,Not Applicable,respiratory,1885.6050415039062
10005,01,2018,NA,"Sussex County, DE",2018,Jan.,2018/01,21,Not Applicable,Not Applicable,Not Applicable,Not Applicable,mh,1856.239990234375
10005,01,2019,NA,"Sussex County, DE",2019,Jan.,2019/01,12,Not Applicable,Not Applicable,Not Applicable,Not Applicable,mh,1847.1699829101562
10005,01,2019,NA,"Sussex County, DE",2019,Jan.,2019/01,23,Not Applicable,Not Applicable,Not Applicable,Not Applicable,respiratory,1847.1699829101562
10005,01,2020,NA,"Sussex County, DE",2020,Jan.,2020/01,31,Not Applicable,Not Applicable,Not Applicable,Not Applicable,respiratory,1850.1849975585938
10005,01,2020,NA,"Sussex County, DE",2020,Jan.,2020/01,15,Not Applicable,Not Applicable,Not Applicable,Not Applicable,mh,1850.1849975585938
10005,01,2021,NA,"Sussex County, DE",2021,Jan.,2021/01,19,Not Applicable,Not Applicable,Not Applicable,Not Applicable,respiratory,1854.0400390625
10005,01,2021,NA,"Sussex County, DE",2021,Jan.,2021/01,11,Not Applicable,Not Applicable,Not Applicable,Not Applicable,mh,1854.0400390625
10005,02,2018,NA,"Sussex County, DE",2018,Feb.,2018/02,11,Not Applicable,Not Applicable,Not Applicable,Not Applicable,mh,1841.3600260416667
10005,02,2019,NA,"Sussex County, DE",2019,Feb.,2019/02,21,Not Applicable,Not Applicable,Not Applicable,Not Applicable,respiratory,1817.875
10005,02,2019,NA,"Sussex County, DE",2019,Feb.,2019/02,13,Not Applicable,Not Applicable,Not Applicable,Not Applicable,mh,1817.875
10005,02,2020,NA,"Sussex County, DE",2020,Feb.,2020/02,23,Not Applicable,Not Applicable,Not Applicable,Not Applicable,mh,1870.3499755859375
10005,02,2020,NA,"Sussex County, DE",2020,Feb.,2020/02,24,Not Applicable,Not Applicable,Not Applicable,Not Applicable,respiratory,1870.3499755859375
10005,02,2021,NA,"Sussex County, DE",2021,Feb.,2021/02,24,Not Applicable,Not Applicable,Not Applicable,Not Applicable,respiratory,1855.4100341796875
10005,03,2019,NA,"Sussex County, DE",2019,Mar.,2019/03,22,Not Applicable,Not Applicable,Not Applicable,Not Applicable,respiratory,1834.35498046875
10005,03,2019,NA,"Sussex County, DE",2019,Mar.,2019/03,12,Not Applicable,Not Applicable,Not Applicable,Not Applicable,mh,1834.35498046875
10005,03,2020,NA,"Sussex County, DE",2020,Mar.,2020/03,14,Not Applicable,Not Applicable,Not Applicable,Not Applicable,mh,1803.8299560546875
10005,03,2020,NA,"Sussex County, DE",2020,Mar.,2020/03,33,Not Applicable,Not Applicable,Not Applicable,Not Applicable,respiratory,1803.8299560546875
10005,03,2021,NA,"Sussex County, DE",2021,Mar.,2021/03,16,Not Applicable,Not Applicable,Not Applicable,Not Applicable,mh,1849.2433675130208
10005,03,2021,NA,"Sussex County, DE",2021,Mar.,2021/03,25,Not Applicable,Not Applicable,Not Applicable,Not Applicable,respiratory,1849.2433675130208
10005,04,2018,NA,"Sussex County, DE",2018,Apr.,2018/04,12,Not Applicable,Not Applicable,Not Applicable,Not Applicable,mh,1879.7459716796875
10005,04,2019,NA,"Sussex County, DE",2019,Apr.,2019/04,25,Not Applicable,Not Applicable,Not Applicable,Not Applicable,respiratory,1833.3966471354167
10005,04,2020,NA,"Sussex County, DE",2020,Apr.,2020/04,30,Not Applicable,Not Applicable,Not Applicable,Not Applicable,respiratory,1846.9100341796875
10005,04,2020,NA,"Sussex County, DE",2020,Apr.,2020/04,12,Not Applicable,Not Applicable,Not Applicable,Not Applicable,mh,1846.9100341796875
10005,04,2021,NA,"Sussex County, DE",2021,Apr.,2021/04,13,Not Applicable,Not Applicable,Not Applicable,Not Applicable,mh,1847.7099609375
10005,04,2021,NA,"Sussex County, DE",2021,Apr.,2021/04,27,Not Applicable,Not Applicable,Not Applicable,Not Applicable,respiratory,1847.7099609375
10005,05,2019,NA,"Sussex County, DE",2019,May,2019/05,13,Not Applicable,Not Applicable,Not Applicable,Not Applicable,respiratory,1876.0033365885417
10005,05,2019,NA,"Sussex County, DE",2019,May,2019/05,12,Not Applicable,Not Applicable,Not Applicable,Not Applicable,mh,1876.0033365885417
10005,05,2020,NA,"Sussex County, DE",2020,May,2020/05,12,Not Applicable,Not Applicable,Not Applicable,Not Applicable,mh,1871.2366943359375
10005,05,2020,NA,"Sussex County, DE",2020,May,2020/05,14,Not Applicable,Not Applicable,Not Applicable,Not Applicable,respiratory,1871.2366943359375
10005,05,2021,NA,"Sussex County, DE",2021,May,2021/05,21,Not Applicable,Not Applicable,Not Applicable,Not Applicable,respiratory,1908.5233561197917
10005,05,2021,NA,"Sussex County, DE",2021,May,2021/05,12,Not Applicable,Not Applicable,Not Applicable,Not Applicable,mh,1908.5233561197917
10005,06,2018,NA,"Sussex County, DE",2018,Jun.,2018/06,11,Not Applicable,Not Applicable,Not Applicable,Not Applicable,mh,1883.1320068359375
10005,06,2019,NA,"Sussex County, DE",2019,Jun.,2019/06,18,Not Applicable,Not Applicable,Not Applicable,Not Applicable,respiratory,1876.9037475585938
10005,06,2019,NA,"Sussex County, DE",2019,Jun.,2019/06,14,Not Applicable,Not Applicable,Not Applicable,Not Applicable,mh,1876.9037475585938
10005,06,2020,NA,"Sussex County, DE",2020,Jun.,2020/06,15,Not Applicable,Not Applicable,Not Applicable,Not Applicable,mh,1899.4728480747767
10005,06,2020,NA,"Sussex County, DE",2020,Jun.,2020/06,15,Not Applicable,Not Applicable,Not Applicable,Not Applicable,respiratory,1899.4728480747767
10005,06,2021,NA,"Sussex County, DE",2021,Jun.,2021/06,22,Not Applicable,Not Applicable,Not Applicable,Not Applicable,respiratory,1898.4
10005,07,2018,NA,"Sussex County, DE",2018,Jul.,2018/07,15,Not Applicable,Not Applicable,Not Applicable,Not Applicable,mh,1880.6799926757812
10005,07,2019,NA,"Sussex County, DE",2019,Jul.,2019/07,13,Not Applicable,Not Applicable,Not Applicable,Not Applicable,mh,1887.8822157118057
10005,07,2019,NA,"Sussex County, DE",2019,Jul.,2019/07,14,Not Applicable,Not Applicable,Not Applicable,Not Applicable,respiratory,1887.8822157118057
10005,07,2020,NA,"Sussex County, DE",2020,Jul.,2020/07,16,Not Applicable,Not Applicable,Not Applicable,Not Applicable,respiratory,1883.8287658691406
10005,07,2021,NA,"Sussex County, DE",2021,Jul.,2021/07,12,Not Applicable,Not Applicable,Not Applicable,Not Applicable,respiratory,1914.959981282552
10005,07,2021,NA,"Sussex County, DE",2021,Jul.,2021/07,15,Not Applicable,Not Applicable,Not Applicable,Not Applicable,mh,1914.959981282552
10005,08,2018,NA,"Sussex County, DE",2018,Aug.,2018/08,11,Not Applicable,Not Applicable,Not Applicable,Not Applicable,mh,1860.5142822265625
10005,08,2019,NA,"Sussex County, DE",2019,Aug.,2019/08,13,Not Applicable,Not Applicable,Not Applicable,Not Applicable,mh,1877.411112467448
10005,08,2019,NA,"Sussex County, DE",2019,Aug.,2019/08,20,Not Applicable,Not Applicable,Not Applicable,Not Applicable,respiratory,1877.411112467448
10005,08,2020,NA,"Sussex County, DE",2020,Aug.,2020/08,24,Not Applicable,Not Applicable,Not Applicable,Not Applicable,respiratory,1903.055698939732
10005,08,2021,NA,"Sussex County, DE",2021,Aug.,2021/08,20,Not Applicable,Not Applicable,Not Applicable,Not Applicable,respiratory,1887.8462524414062
10005,08,2021,NA,"Sussex County, DE",2021,Aug.,2021/08,15,Not Applicable,Not Applicable,Not Applicable,Not Applicable,mh,1887.8462524414062
10005,09,2018,NA,"Sussex County, DE",2018,Sep.,2018/09,16,Not Applicable,Not Applicable,Not Applicable,Not Applicable,mh,1840.2999877929688
10005,09,2019,NA,"Sussex County, DE",2019,Sep.,2019/09,12,Not Applicable,Not Applicable,Not Applicable,Not Applicable,mh,1871.844455295139
10005,09,2019,NA,"Sussex County, DE",2019,Sep.,2019/09,28,Not Applicable,Not Applicable,Not Applicable,Not Applicable,respiratory,1871.844455295139
10005,09,2020,NA,"Sussex County, DE",2020,Sep.,2020/09,20,Not Applicable,Not Applicable,Not Applicable,Not Applicable,respiratory,1873.2283325195312
10005,09,2021,NA,"Sussex County, DE",2021,Sep.,2021/09,21,Not Applicable,Not Applicable,Not Applicable,Not Applicable,respiratory,1887.7690063476562
10005,10,2018,NA,"Sussex County, DE",2018,Oct.,2018/10,18,Not Applicable,Not Applicable,Not Applicable,Not Applicable,mh,1877.02001953125
10005,10,2019,NA,"Sussex County, DE",2019,Oct.,2019/10,25,Not Applicable,Not Applicable,Not Applicable,Not Applicable,respiratory,1858.47998046875
10005,10,2020,NA,"Sussex County, DE",2020,Oct.,2020/10,12,Not Applicable,Not Applicable,Not Applicable,Not Applicable,mh,1884.433738708496
10005,10,2020,NA,"Sussex County, DE",2020,Oct.,2020/10,15,Not Applicable,Not Applicable,Not Applicable,Not Applicable,respiratory,1884.433738708496
10005,10,2021,NA,"Sussex County, DE",2021,Oct.,2021/10,12,Not Applicable,Not Applicable,Not Applicable,Not Applicable,mh,1891.1000104631696
10005,10,2021,NA,"Sussex County, DE",2021,Oct.,2021/10,19,Not Applicable,Not Applicable,Not Applicable,Not Applicable,respiratory,1891.1000104631696
10005,11,2018,NA,"Sussex County, DE",2018,Nov.,2018/11,12,Not Applicable,Not Applicable,Not Applicable,Not Applicable,mh,1869.6275024414062
10005,11,2019,NA,"Sussex County, DE",2019,Nov.,2019/11,14,Not Applicable,Not Applicable,Not Applicable,Not Applicable,respiratory,1874.3800048828125
10005,11,2020,NA,"Sussex County, DE",2020,Nov.,2020/11,14,Not Applicable,Not Applicable,Not Applicable,Not Applicable,mh,1874.4440185546875
10005,11,2020,NA,"Sussex County, DE",2020,Nov.,2020/11,22,Not Applicable,Not Applicable,Not Applicable,Not Applicable,respiratory,1874.4440185546875
10005,11,2021,NA,"Sussex County, DE",2021,Nov.,2021/11,20,Not Applicable,Not Applicable,Not Applicable,Not Applicable,respiratory,1882.35400390625
10005,11,2021,NA,"Sussex County, DE",2021,Nov.,2021/11,14,Not Applicable,Not Applicable,Not Applicable,Not Applicable,mh,1882.35400390625
10005,12,2018,NA,"Sussex County, DE",2018,Dec.,2018/12,16,Not Applicable,Not Applicable,Not Applicable,Not Applicable,mh,1837.4349975585938
10005,12,2019,NA,"Sussex County, DE",2019,Dec.,2019/12,19,Not Applicable,Not Applicable,Not Applicable,Not Applicable,respiratory,1860.219970703125
10005,12,2020,NA,"Sussex County, DE",2020,Dec.,2020/12,31,Not Applicable,Not Applicable,Not Applicable,Not Applicable,respiratory,1894.668017578125
10005,12,2020,NA,"Sussex County, DE",2020,Dec.,2020/12,11,Not Applicable,Not Applicable,Not Applicable,Not Applicable,mh,1894.668017578125
10005,12,2021,NA,"Sussex County, DE",2021,Dec.,2021/12,28,Not Applicable,Not Applicable,Not Applicable,Not Applicable,respiratory,1877.3800048828125
10005,12,2021,NA,"Sussex County, DE",2021,Dec.,2021/12,18,Not Applicable,Not Applicable,Not Applicable,Not Applicable,mh,1877.3800048828125
11001,02,2019,NA,"District of Columbia, DC",2019,Feb.,2019/02,22,Not Applicable,Not Applicable,Not Applicable,Not Applicable,respiratory,1830.989990234375
11001,04,2018,NA,"District of Columbia, DC",2018,Apr.,2018/04,11,Not Applicable,Not Applicable,Not Applicable,Not Applicable,methane,1846.18994140625
11001,04,2018,NA,"District of Columbia, DC",2018,Apr.,2018/04,21,Not Applicable,Not Applicable,Not Applicable,Not Applicable,mh,1846.18994140625
11001,06,2018,NA,"District of Columbia, DC",2018,Jun.,2018/06,21,Not Applicable,Not Applicable,Not Applicable,Not Applicable,mh,1913.199951171875
11001,06,2021,NA,"District of Columbia, DC",2021,Jun.,2021/06,22,Not Applicable,Not Applicable,Not Applicable,Not Applicable,respiratory,1858.0400390625
11001,06,2021,NA,"District of Columbia, DC",2021,Jun.,2021/06,29,Not Applicable,Not Applicable,Not Applicable,Not Applicable,mh,1858.0400390625
11001,08,2020,NA,"District of Columbia, DC",2020,Aug.,2020/08,10,Not Applicable,Not Applicable,Not Applicable,Not Applicable,methane,1896.6050415039062
11001,08,2020,NA,"District of Columbia, DC",2020,Aug.,2020/08,26,Not Applicable,Not Applicable,Not Applicable,Not Applicable,respiratory,1896.6050415039062
11001,08,2020,NA,"District of Columbia, DC",2020,Aug.,2020/08,21,Not Applicable,Not Applicable,Not Applicable,Not Applicable,mh,1896.6050415039062
11001,09,2019,NA,"District of Columbia, DC",2019,Sep.,2019/09,20,Not Applicable,Not Applicable,Not Applicable,Not Applicable,mh,1888.3399658203125
11001,09,2019,NA,"District of Columbia, DC",2019,Sep.,2019/09,10,Not Applicable,Not Applicable,Not Applicable,Not Applicable,respiratory,1888.3399658203125
11001,11,2020,NA,"District of Columbia, DC",2020,Nov.,2020/11,31,Not Applicable,Not Applicable,Not Applicable,Not Applicable,respiratory,1909.22998046875
