"Notes"	"County"	"County Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval
	"Cullman County, AL"	"01043"	"Jan., 2018"	"2018/01"	20	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Cullman County, AL"	"01043"	"Feb., 2018"	"2018/02"	14	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Cullman County, AL"	"01043"	"Mar., 2018"	"2018/03"	12	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Cullman County, AL"	"01043"	"May, 2018"	"2018/05"	13	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Cullman County, AL"	"01043"	"Jun., 2018"	"2018/06"	12	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Cullman County, AL"	"01043"	"Jul., 2018"	"2018/07"	13	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Cullman County, AL"	"01043"	"Aug., 2018"	"2018/08"	11	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Cullman County, AL"	"01043"	"Nov., 2018"	"2018/11"	12	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Cullman County, AL"	"01043"	"Dec., 2018"	"2018/12"	16	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"DeKalb County, AL"	"01049"	"Feb., 2018"	"2018/02"	10	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"DeKalb County, AL"	"01049"	"Mar., 2018"	"2018/03"	18	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"DeKalb County, AL"	"01049"	"May, 2018"	"2018/05"	11	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"DeKalb County, AL"	"01049"	"Sep., 2018"	"2018/09"	10	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"DeKalb County, AL"	"01049"	"Dec., 2018"	"2018/12"	10	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Elmore County, AL"	"01051"	"Jan., 2018"	"2018/01"	14	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Elmore County, AL"	"01051"	"Feb., 2018"	"2018/02"	13	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Elmore County, AL"	"01051"	"May, 2018"	"2018/05"	10	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Elmore County, AL"	"01051"	"Jun., 2018"	"2018/06"	10	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Etowah County, AL"	"01055"	"Jan., 2018"	"2018/01"	32	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Etowah County, AL"	"01055"	"Feb., 2018"	"2018/02"	28	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Etowah County, AL"	"01055"	"Mar., 2018"	"2018/03"	20	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Etowah County, AL"	"01055"	"Apr., 2018"	"2018/04"	26	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Etowah County, AL"	"01055"	"May, 2018"	"2018/05"	22	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Etowah County, AL"	"01055"	"Jun., 2018"	"2018/06"	18	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Etowah County, AL"	"01055"	"Jul., 2018"	"2018/07"	24	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Etowah County, AL"	"01055"	"Sep., 2018"	"2018/09"	14	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Etowah County, AL"	"01055"	"Oct., 2018"	"2018/10"	24	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Etowah County, AL"	"01055"	"Nov., 2018"	"2018/11"	21	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Etowah County, AL"	"01055"	"Dec., 2018"	"2018/12"	16	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Geneva County, AL"	"01061"	"Jan., 2018"	"2018/01"	10	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Houston County, AL"	"01069"	"Jan., 2018"	"2018/01"	12	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Houston County, AL"	"01069"	"Feb., 2018"	"2018/02"	15	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Houston County, AL"	"01069"	"Mar., 2018"	"2018/03"	10	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Houston County, AL"	"01069"	"May, 2018"	"2018/05"	12	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Houston County, AL"	"01069"	"Sep., 2018"	"2018/09"	10	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Houston County, AL"	"01069"	"Dec., 2018"	"2018/12"	11	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, AL"	"01071"	"Jan., 2018"	"2018/01"	12	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, AL"	"01071"	"Feb., 2018"	"2018/02"	11	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Jan., 2018"	"2018/01"	104	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Feb., 2018"	"2018/02"	48	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Mar., 2018"	"2018/03"	57	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Apr., 2018"	"2018/04"	73	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"May, 2018"	"2018/05"	65	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Jun., 2018"	"2018/06"	49	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Jul., 2018"	"2018/07"	50	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Aug., 2018"	"2018/08"	56	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Sep., 2018"	"2018/09"	59	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Oct., 2018"	"2018/10"	61	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Nov., 2018"	"2018/11"	60	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Dec., 2018"	"2018/12"	67	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Lauderdale County, AL"	"01077"	"Jan., 2018"	"2018/01"	24	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Lauderdale County, AL"	"01077"	"Feb., 2018"	"2018/02"	12	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Lauderdale County, AL"	"01077"	"Mar., 2018"	"2018/03"	11	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Lauderdale County, AL"	"01077"	"Apr., 2018"	"2018/04"	19	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Lauderdale County, AL"	"01077"	"Jun., 2018"	"2018/06"	15	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Lauderdale County, AL"	"01077"	"Aug., 2018"	"2018/08"	10	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Lauderdale County, AL"	"01077"	"Sep., 2018"	"2018/09"	13	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Lauderdale County, AL"	"01077"	"Oct., 2018"	"2018/10"	13	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Lauderdale County, AL"	"01077"	"Dec., 2018"	"2018/12"	11	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Lawrence County, AL"	"01079"	"Apr., 2018"	"2018/04"	11	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Lawrence County, AL"	"01079"	"May, 2018"	"2018/05"	11	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Lee County, AL"	"01081"	"Jan., 2018"	"2018/01"	18	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Lee County, AL"	"01081"	"Mar., 2018"	"2018/03"	11	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Lee County, AL"	"01081"	"May, 2018"	"2018/05"	14	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Lee County, AL"	"01081"	"Jul., 2018"	"2018/07"	10	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Lee County, AL"	"01081"	"Oct., 2018"	"2018/10"	10	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Lee County, AL"	"01081"	"Dec., 2018"	"2018/12"	12	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Limestone County, AL"	"01083"	"Jan., 2018"	"2018/01"	12	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Limestone County, AL"	"01083"	"May, 2018"	"2018/05"	13	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Madison County, AL"	"01089"	"Jan., 2018"	"2018/01"	56	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Madison County, AL"	"01089"	"Feb., 2018"	"2018/02"	34	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Madison County, AL"	"01089"	"Mar., 2018"	"2018/03"	42	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Madison County, AL"	"01089"	"Apr., 2018"	"2018/04"	31	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Madison County, AL"	"01089"	"May, 2018"	"2018/05"	28	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Madison County, AL"	"01089"	"Jun., 2018"	"2018/06"	24	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Madison County, AL"	"01089"	"Jul., 2018"	"2018/07"	27	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Madison County, AL"	"01089"	"Aug., 2018"	"2018/08"	22	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Madison County, AL"	"01089"	"Sep., 2018"	"2018/09"	23	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Madison County, AL"	"01089"	"Oct., 2018"	"2018/10"	23	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Madison County, AL"	"01089"	"Nov., 2018"	"2018/11"	18	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Madison County, AL"	"01089"	"Dec., 2018"	"2018/12"	32	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Marshall County, AL"	"01095"	"Jan., 2018"	"2018/01"	28	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Marshall County, AL"	"01095"	"Feb., 2018"	"2018/02"	22	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Marshall County, AL"	"01095"	"Mar., 2018"	"2018/03"	12	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Marshall County, AL"	"01095"	"Apr., 2018"	"2018/04"	10	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Marshall County, AL"	"01095"	"May, 2018"	"2018/05"	10	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Marshall County, AL"	"01095"	"Jun., 2018"	"2018/06"	15	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Marshall County, AL"	"01095"	"Jul., 2018"	"2018/07"	10	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Marshall County, AL"	"01095"	"Aug., 2018"	"2018/08"	16	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Marshall County, AL"	"01095"	"Sep., 2018"	"2018/09"	15	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Marshall County, AL"	"01095"	"Oct., 2018"	"2018/10"	17	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Marshall County, AL"	"01095"	"Nov., 2018"	"2018/11"	15	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Mobile County, AL"	"01097"	"Jan., 2018"	"2018/01"	65	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Mobile County, AL"	"01097"	"Feb., 2018"	"2018/02"	63	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Mobile County, AL"	"01097"	"Mar., 2018"	"2018/03"	39	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Mobile County, AL"	"01097"	"Apr., 2018"	"2018/04"	34	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Mobile County, AL"	"01097"	"May, 2018"	"2018/05"	40	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Mobile County, AL"	"01097"	"Jun., 2018"	"2018/06"	34	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Mobile County, AL"	"01097"	"Jul., 2018"	"2018/07"	33	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Mobile County, AL"	"01097"	"Aug., 2018"	"2018/08"	33	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Mobile County, AL"	"01097"	"Sep., 2018"	"2018/09"	39	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Mobile County, AL"	"01097"	"Oct., 2018"	"2018/10"	37	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Mobile County, AL"	"01097"	"Nov., 2018"	"2018/11"	35	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Mobile County, AL"	"01097"	"Dec., 2018"	"2018/12"	50	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Montgomery County, AL"	"01101"	"Jan., 2018"	"2018/01"	23	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Montgomery County, AL"	"01101"	"Feb., 2018"	"2018/02"	15	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Montgomery County, AL"	"01101"	"Mar., 2018"	"2018/03"	12	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Montgomery County, AL"	"01101"	"Apr., 2018"	"2018/04"	19	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Montgomery County, AL"	"01101"	"May, 2018"	"2018/05"	20	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Montgomery County, AL"	"01101"	"Jun., 2018"	"2018/06"	11	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Montgomery County, AL"	"01101"	"Jul., 2018"	"2018/07"	21	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Montgomery County, AL"	"01101"	"Aug., 2018"	"2018/08"	18	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Montgomery County, AL"	"01101"	"Sep., 2018"	"2018/09"	13	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Montgomery County, AL"	"01101"	"Oct., 2018"	"2018/10"	15	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Montgomery County, AL"	"01101"	"Dec., 2018"	"2018/12"	13	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Morgan County, AL"	"01103"	"Jan., 2018"	"2018/01"	18	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Morgan County, AL"	"01103"	"Feb., 2018"	"2018/02"	17	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Morgan County, AL"	"01103"	"Mar., 2018"	"2018/03"	10	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Morgan County, AL"	"01103"	"Apr., 2018"	"2018/04"	12	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Morgan County, AL"	"01103"	"May, 2018"	"2018/05"	10	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Morgan County, AL"	"01103"	"Jun., 2018"	"2018/06"	12	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Morgan County, AL"	"01103"	"Jul., 2018"	"2018/07"	13	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Morgan County, AL"	"01103"	"Aug., 2018"	"2018/08"	19	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Morgan County, AL"	"01103"	"Sep., 2018"	"2018/09"	10	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Morgan County, AL"	"01103"	"Oct., 2018"	"2018/10"	19	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Morgan County, AL"	"01103"	"Nov., 2018"	"2018/11"	12	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Morgan County, AL"	"01103"	"Dec., 2018"	"2018/12"	13	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Russell County, AL"	"01113"	"Jan., 2018"	"2018/01"	14	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Russell County, AL"	"01113"	"Apr., 2018"	"2018/04"	11	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"St. Clair County, AL"	"01115"	"Jan., 2018"	"2018/01"	13	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"St. Clair County, AL"	"01115"	"Feb., 2018"	"2018/02"	11	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"St. Clair County, AL"	"01115"	"Mar., 2018"	"2018/03"	14	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"St. Clair County, AL"	"01115"	"Jun., 2018"	"2018/06"	10	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"St. Clair County, AL"	"01115"	"Aug., 2018"	"2018/08"	13	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"St. Clair County, AL"	"01115"	"Nov., 2018"	"2018/11"	11	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"St. Clair County, AL"	"01115"	"Dec., 2018"	"2018/12"	10	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Shelby County, AL"	"01117"	"Jan., 2018"	"2018/01"	28	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Shelby County, AL"	"01117"	"Feb., 2018"	"2018/02"	16	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Shelby County, AL"	"01117"	"Mar., 2018"	"2018/03"	11	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Shelby County, AL"	"01117"	"Apr., 2018"	"2018/04"	15	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Shelby County, AL"	"01117"	"May, 2018"	"2018/05"	13	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Shelby County, AL"	"01117"	"Jun., 2018"	"2018/06"	11	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Shelby County, AL"	"01117"	"Jul., 2018"	"2018/07"	11	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Shelby County, AL"	"01117"	"Aug., 2018"	"2018/08"	14	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Shelby County, AL"	"01117"	"Nov., 2018"	"2018/11"	11	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Shelby County, AL"	"01117"	"Dec., 2018"	"2018/12"	13	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Talladega County, AL"	"01121"	"Jan., 2018"	"2018/01"	17	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Talladega County, AL"	"01121"	"Feb., 2018"	"2018/02"	17	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Talladega County, AL"	"01121"	"Mar., 2018"	"2018/03"	10	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Talladega County, AL"	"01121"	"Apr., 2018"	"2018/04"	11	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Talladega County, AL"	"01121"	"May, 2018"	"2018/05"	11	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Talladega County, AL"	"01121"	"Jul., 2018"	"2018/07"	10	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Talladega County, AL"	"01121"	"Aug., 2018"	"2018/08"	10	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Talladega County, AL"	"01121"	"Dec., 2018"	"2018/12"	16	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Tallapoosa County, AL"	"01123"	"Jan., 2018"	"2018/01"	13	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Tallapoosa County, AL"	"01123"	"Mar., 2018"	"2018/03"	10	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Tuscaloosa County, AL"	"01125"	"Jan., 2018"	"2018/01"	32	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Tuscaloosa County, AL"	"01125"	"Feb., 2018"	"2018/02"	13	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Tuscaloosa County, AL"	"01125"	"Mar., 2018"	"2018/03"	22	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Tuscaloosa County, AL"	"01125"	"Apr., 2018"	"2018/04"	25	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Tuscaloosa County, AL"	"01125"	"May, 2018"	"2018/05"	21	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Tuscaloosa County, AL"	"01125"	"Jun., 2018"	"2018/06"	16	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Tuscaloosa County, AL"	"01125"	"Jul., 2018"	"2018/07"	18	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Tuscaloosa County, AL"	"01125"	"Aug., 2018"	"2018/08"	13	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Tuscaloosa County, AL"	"01125"	"Sep., 2018"	"2018/09"	17	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Tuscaloosa County, AL"	"01125"	"Oct., 2018"	"2018/10"	17	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Tuscaloosa County, AL"	"01125"	"Nov., 2018"	"2018/11"	16	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Tuscaloosa County, AL"	"01125"	"Dec., 2018"	"2018/12"	20	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Walker County, AL"	"01127"	"Jan., 2018"	"2018/01"	18	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Walker County, AL"	"01127"	"Feb., 2018"	"2018/02"	15	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Walker County, AL"	"01127"	"Mar., 2018"	"2018/03"	16	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Walker County, AL"	"01127"	"Apr., 2018"	"2018/04"	14	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Walker County, AL"	"01127"	"May, 2018"	"2018/05"	10	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Walker County, AL"	"01127"	"Oct., 2018"	"2018/10"	11	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Walker County, AL"	"01127"	"Dec., 2018"	"2018/12"	15	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Anchorage Borough, AK"	"02020"	"Jan., 2018"	"2018/01"	15	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Anchorage Borough, AK"	"02020"	"Mar., 2018"	"2018/03"	13	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Anchorage Borough, AK"	"02020"	"Apr., 2018"	"2018/04"	16	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Anchorage Borough, AK"	"02020"	"May, 2018"	"2018/05"	12	Not Applicable	Not Applicable	Not Applicable	Not Applicable
